sku,status,source_url,source_bytes,source_width,source_height,source_mime,processed_path,processed_sha256,http_status,note
AQUALANIA-CAN-DYNYA-MYATA-330-CAN,exact,https://img1.creatium.ru/disk2/f9/54/62/cdd937a14708272bb2828105ecef7e10c7/jb_dinya_myata.png,544071,869,1216,image/png,artifacts/aqualania-import/2026-08-05T12-38-20-797Z-stage1/processed/AQUALANIA-CAN-DYNYA-MYATA-330-CAN.webp,7cecdf116506ea90e8ee88af7c94c0d5450c4417224e1512a0a7462a189974b0,200,
AQUALANIA-CAN-IGRISTOE-330-CAN,exact,https://img1.creatium.ru/disk2/6e/b2/5d/2f55d9d55b3693c38a4c4074c9cfd36465/jb_igristoe.png,542801,891,1160,image/png,artifacts/aqualania-import/2026-08-05T12-38-20-797Z-stage1/processed/AQUALANIA-CAN-IGRISTOE-330-CAN.webp,459aedaddae82475c2b845eed0a37d2b84bd5ed1a41fe34a8dd1bc219896bdb6,200,
AQUALANIA-CAN-MANGO-VINOGRAD-330-CAN,exact,https://img1.creatium.ru/disk2/45/dc/62/6fd3dd223b800232e677ef9fc25944e7d4/jb_mango_vinograd_2.png,562622,882,1117,image/png,artifacts/aqualania-import/2026-08-05T12-38-20-797Z-stage1/processed/AQUALANIA-CAN-MANGO-VINOGRAD-330-CAN.webp,ce613495240a1fc32a603f8029545bf0e4861bcc1fa2b7a1db37a6a45dc160c1,200,
AQUALANIA-CAN-MOHITO-CLASSIC-330-CAN,exact,https://img1.creatium.ru/disk2/5a/ef/46/5975fdb1b5203564567130ffb12b15491d/jb_moh_klass.png,499068,868,1186,image/png,artifacts/aqualania-import/2026-08-05T12-38-20-797Z-stage1/processed/AQUALANIA-CAN-MOHITO-CLASSIC-330-CAN.webp,b2012beb9722536af1c66c8c812b9492181b2e26275cdf58860555cec6586b1f,200,
AQUALANIA-CAN-MOHITO-KLUBNICHNYY-330-CAN,exact,https://img1.creatium.ru/disk2/02/5c/f9/49e239712b22206bd7de6e70c37e124f13/jb_moh_klubne.png,520273,846,1206,image/png,artifacts/aqualania-import/2026-08-05T12-38-20-797Z-stage1/processed/AQUALANIA-CAN-MOHITO-KLUBNICHNYY-330-CAN.webp,55b568918d2173c3cfe762fe0cb2aaeb56a4ba4094f007b372a32396f654706c,200,
AQUALANIA-LIGHT-ANANAS-330-PETCAN,exact_low_res,https://img1.creatium.ru/c9/3e/59/33760b0eeba5d25cf2d2f5e988cdd3bcc9/ananas.jpg,36999,224,200,image/jpeg,artifacts/aqualania-import/2026-08-05T12-38-20-797Z-stage1/processed/AQUALANIA-LIGHT-ANANAS-330-PETCAN.webp,1be3a67870fbc292a070fade59d53d09c5ec1712361b5bcd27ff7b6fcc97f810,200,Official Light assets are small (~224px); kept as exact_low_res.
AQUALANIA-LIGHT-APELSIN-330-PETCAN,exact_low_res,https://img1.creatium.ru/21/2f/1e/5702ee6110ed873d05ec4fb4919305c18c/apelsin.jpg,39216,224,200,image/jpeg,artifacts/aqualania-import/2026-08-05T12-38-20-797Z-stage1/processed/AQUALANIA-LIGHT-APELSIN-330-PETCAN.webp,831a151a26eeacf6724e629cb780ba399ec0f940829bf8c2a7143abf29c808f9,200,Official Light assets are small (~224px); kept as exact_low_res.
AQUALANIA-LIGHT-KLUBNIKA-330-PETCAN,exact_low_res,https://img1.creatium.ru/80/b3/a1/c9359f69009cf574a308540314a5b998de/klubnika.jpg,42514,224,200,image/jpeg,artifacts/aqualania-import/2026-08-05T12-38-20-797Z-stage1/processed/AQUALANIA-LIGHT-KLUBNIKA-330-PETCAN.webp,801179c3803e1b585ecd107960af2d7c9e788c7054853955c2e162a68fde9f85,200,Official Light assets are small (~224px); kept as exact_low_res.
AQUALANIA-LIGHT-MANGO-MARAKUYYA-330-PETCAN,exact_low_res,https://img1.creatium.ru/30/01/c9/9a56bfd29095304fe7221f7a309a9b01d2/mango_marakuya.jpg,37184,224,200,image/jpeg,artifacts/aqualania-import/2026-08-05T12-38-20-797Z-stage1/processed/AQUALANIA-LIGHT-MANGO-MARAKUYYA-330-PETCAN.webp,7ed7f5f63446c0db7010251a2316bd938acfa9f57e1efef6a95331f99f2b15fa,200,Official Light assets are small (~224px); kept as exact_low_res.
AQUALANIA-LIGHT-MOHITO-330-PETCAN,exact_low_res,https://img1.creatium.ru/dc/05/ce/7bcaeba27863bf92568ca429daa51a94c9/mohito.jpg,38440,224,200,image/jpeg,artifacts/aqualania-import/2026-08-05T12-38-20-797Z-stage1/processed/AQUALANIA-LIGHT-MOHITO-330-PETCAN.webp,26abe6cc2c4fd4549c6ea642c4fa4a3db1a57ea259aa3fd45e8a3fa67719eec7,200,Official Light assets are small (~224px); kept as exact_low_res.
