proposed_sku,official_name,proposed_name,brand,manufacturer,line,flavor,volume_ml,volume_text,package_type,package_code,carbonation,sugar_free,shelf_life_days,category,category_slug,category_id,category_status,source_url,source_image_url,image_path,image_match_status,image_width,image_height,image_mime,image_sha256,duplicate_status,confidence,review_status,review_reason,notes,alcohol_status,sales_status,price_amount,orderable,availability,units_per_package,is_active
AQUALANIA-CAN-DYNYA-MYATA-330-CAN,"Напиток безалкогольный сильногазированный со вкусом ""Дыня и мята"" АквАлания","AquAlania Дыня-Мята, 0,33 л, алюминиевая банка",AquAlania,ООО «Константа-7»,CAN,Дыня-Мята,330,"0,33 л",алюминиевая банка,CAN,сильногазированная,false,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/f9/54/62/cdd937a14708272bb2828105ecef7e10c7/jb_dinya_myata.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-CAN-DYNYA-MYATA-330-CAN.webp,exact,869,1216,image/png,cdc85e2ff048f4492bcda6320f72e0bdc63fb5f0f56c0864cd9a0bb4c99f30bd,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-CAN-IGRISTOE-330-CAN,"Напиток безалкогольный сильногазированный со вкусом ""Игристое"" АквАлания","Напиток газированный AquAlania Игристое, 0,33 л, банка",AquAlania,ООО «Константа-7»,CAN,Игристое,330,"0,33 л",алюминиевая банка,CAN,сильногазированная,false,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/6e/b2/5d/2f55d9d55b3693c38a4c4074c9cfd36465/jb_igristoe.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-CAN-IGRISTOE-330-CAN.webp,exact,891,1160,image/png,1b4d0a994f2f237496b0df03afe2126297ddc3fbfd629eaa36535291d2d4f33f,new_product,high,approved,,"Официально безалкогольный: RU «Напиток безалкогольный сильногазированный „Игристое“»; EN «Non alcoholic carbonated drink with Sparkling wine/Champagne flavor»; на этикетке стекла — «НАПИТОК БЕЗАЛКОГОЛЬНЫЙ СИЛЬНОГАЗИРОВАННЫЙ». Слова Sparkling wine/Champagne = вкус, не алкогольный статус. В proposed_name без слова «вино».",non_alcoholic_confirmed,showcase,,false,on_order,1,true
AQUALANIA-CAN-MANGO-VINOGRAD-330-CAN,"Напиток безалкогольный сильногазированный со вкусом ""Манго - Виноград"" АквАлания","AquAlania Манго-Виноград, 0,33 л, алюминиевая банка",AquAlania,ООО «Константа-7»,CAN,Манго-Виноград,330,"0,33 л",алюминиевая банка,CAN,сильногазированная,false,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/45/dc/62/6fd3dd223b800232e677ef9fc25944e7d4/jb_mango_vinograd_2.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-CAN-MANGO-VINOGRAD-330-CAN.webp,exact,882,1117,image/png,9e48d9539be6c2587bd14e7ad9ebb0795cbb83ae13fc21c5ac7294d9d3d534a9,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-CAN-MOHITO-CLASSIC-330-CAN,"Напиток безалкогольный сильногазированный ""Мохито"" со вкусом мяты и лайма АквАлания","AquAlania Мохито классический, 0,33 л, алюминиевая банка",AquAlania,ООО «Константа-7»,CAN,Мохито классический,330,"0,33 л",алюминиевая банка,CAN,сильногазированная,false,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/5a/ef/46/5975fdb1b5203564567130ffb12b15491d/jb_moh_klass.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-CAN-MOHITO-CLASSIC-330-CAN.webp,exact,868,1186,image/png,de1c6c9db0b3e80eda1ebaf73be4ae05515b715eec3b612811c96fa995837bb9,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-CAN-MOHITO-KLUBNICHNYY-330-CAN,"Напиток безалкогольный сильногазированный ""Мохито"" со вкусом клубники АквАлания","AquAlania Мохито клубничный, 0,33 л, алюминиевая банка",AquAlania,ООО «Константа-7»,CAN,Мохито клубничный,330,"0,33 л",алюминиевая банка,CAN,сильногазированная,false,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/02/5c/f9/49e239712b22206bd7de6e70c37e124f13/jb_moh_klubne.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-CAN-MOHITO-KLUBNICHNYY-330-CAN.webp,exact,846,1206,image/png,59aeb401a91ff31bb599de443cf17a6ead1a60757e5def13cf5233d1dc1e3f8d,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-LIGHT-ANANAS-330-PETCAN,Напиток безалкогольный среднегазированный со вкусом ананаса «АквАлания лайт (AquAlania light)»,"AquAlania Light Ананас без сахара, 0,33 л, ПЭТ-банка с алюминиевой крышкой",AquAlania,ООО «Константа-7»,LIGHT,Ананас,330,"0,33 л",ПЭТ-банка с алюминиевой крышкой,PETCAN,среднегазированная,true,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/c9/3e/59/33760b0eeba5d25cf2d2f5e988cdd3bcc9/ananas.jpg,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-ANANAS-330-PETCAN.webp,exact_low_res,224,200,image/jpeg,f0a2ca342cb2f97e984499e279fed58c9021505cbf1d5b8c6b3c574da85dedc3,new_product,medium,approved,,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются.",,showcase,,false,on_order,1,true
AQUALANIA-LIGHT-APELSIN-330-PETCAN,Напиток безалкогольный среднегазированный со вкусом апельсина «АквАлания лайт (AquAlania light)»,"AquAlania Light Апельсин без сахара, 0,33 л, ПЭТ-банка с алюминиевой крышкой",AquAlania,ООО «Константа-7»,LIGHT,Апельсин,330,"0,33 л",ПЭТ-банка с алюминиевой крышкой,PETCAN,среднегазированная,true,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/21/2f/1e/5702ee6110ed873d05ec4fb4919305c18c/apelsin.jpg,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-APELSIN-330-PETCAN.webp,exact_low_res,224,200,image/jpeg,2d1e2418f89cb89b9d959b80bf4dd7cddf8b5635b961068d897e0f988ba2fb91,new_product,medium,approved,,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются.",,showcase,,false,on_order,1,true
AQUALANIA-LIGHT-KLUBNIKA-330-PETCAN,Напиток безалкогольный среднегазированный со вкусом клубники «АквАлания лайт (AquAlania light)»,"AquAlania Light Клубника без сахара, 0,33 л, ПЭТ-банка с алюминиевой крышкой",AquAlania,ООО «Константа-7»,LIGHT,Клубника,330,"0,33 л",ПЭТ-банка с алюминиевой крышкой,PETCAN,среднегазированная,true,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/80/b3/a1/c9359f69009cf574a308540314a5b998de/klubnika.jpg,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-KLUBNIKA-330-PETCAN.webp,exact_low_res,224,200,image/jpeg,d4b1599fbe84d0133c2e9214af787fe5d3415de2a9e39024fd67cdc3f720a518,new_product,medium,approved,,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются.",,showcase,,false,on_order,1,true
AQUALANIA-LIGHT-MANGO-MARAKUYYA-330-PETCAN,Напиток безалкогольный среднегазированный со вкусом манго-маракуйя «АквАлания лайт (AquAlania light)»,"AquAlania Light Манго-Маракуйя без сахара, 0,33 л, ПЭТ-банка с алюминиевой крышкой",AquAlania,ООО «Константа-7»,LIGHT,Манго-Маракуйя,330,"0,33 л",ПЭТ-банка с алюминиевой крышкой,PETCAN,среднегазированная,true,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/30/01/c9/9a56bfd29095304fe7221f7a309a9b01d2/mango_marakuya.jpg,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-MANGO-MARAKUYYA-330-PETCAN.webp,exact_low_res,224,200,image/jpeg,c61d926796bc3dbfd356d721a12f9330b8f1259804326da36f193892f6206bbe,new_product,medium,approved,,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются.",,showcase,,false,on_order,1,true
AQUALANIA-LIGHT-MOHITO-330-PETCAN,Напиток безалкогольный среднегазированный со вкусом мохито «АквАлания лайт (AquAlania light)»,"AquAlania Light Мохито без сахара, 0,33 л, ПЭТ-банка с алюминиевой крышкой",AquAlania,ООО «Константа-7»,LIGHT,Мохито,330,"0,33 л",ПЭТ-банка с алюминиевой крышкой,PETCAN,среднегазированная,true,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/dc/05/ce/7bcaeba27863bf92568ca429daa51a94c9/mohito.jpg,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-MOHITO-330-PETCAN.webp,exact_low_res,224,200,image/jpeg,1db84e0d87e033b623e0324150ca1e30426e1c563b6c383fae4f1fae239af57e,new_product,medium,approved,,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются.",,showcase,,false,on_order,1,true
