sku,line,flavor,status,source_url,source_filename,source_bytes,source_width,source_height,source_mime,source_sha256,processed_path,processed_sha256,http_status,note
AQUALANIA-CAN-DYNYA-MYATA-330-CAN,CAN,Дыня-Мята,exact,https://img1.creatium.ru/disk2/f9/54/62/cdd937a14708272bb2828105ecef7e10c7/jb_dinya_myata.png,jb_dinya_myata.png,544071,869,1216,image/png,cdc85e2ff048f4492bcda6320f72e0bdc63fb5f0f56c0864cd9a0bb4c99f30bd,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-CAN-DYNYA-MYATA-330-CAN.webp,7cecdf116506ea90e8ee88af7c94c0d5450c4417224e1512a0a7462a189974b0,200,
AQUALANIA-CAN-IGRISTOE-330-CAN,CAN,Игристое,exact,https://img1.creatium.ru/disk2/6e/b2/5d/2f55d9d55b3693c38a4c4074c9cfd36465/jb_igristoe.png,jb_igristoe.png,542801,891,1160,image/png,1b4d0a994f2f237496b0df03afe2126297ddc3fbfd629eaa36535291d2d4f33f,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-CAN-IGRISTOE-330-CAN.webp,459aedaddae82475c2b845eed0a37d2b84bd5ed1a41fe34a8dd1bc219896bdb6,200,"Официально безалкогольный: RU «Напиток безалкогольный сильногазированный „Игристое“»; EN «Non alcoholic carbonated drink with Sparkling wine/Champagne flavor»; на этикетке стекла — «НАПИТОК БЕЗАЛКОГОЛЬНЫЙ СИЛЬНОГАЗИРОВАННЫЙ». Слова Sparkling wine/Champagne = вкус, не алкогольный статус. В proposed_name без слова «вино»."
AQUALANIA-CAN-MANGO-VINOGRAD-330-CAN,CAN,Манго-Виноград,exact,https://img1.creatium.ru/disk2/45/dc/62/6fd3dd223b800232e677ef9fc25944e7d4/jb_mango_vinograd_2.png,jb_mango_vinograd_2.png,562622,882,1117,image/png,9e48d9539be6c2587bd14e7ad9ebb0795cbb83ae13fc21c5ac7294d9d3d534a9,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-CAN-MANGO-VINOGRAD-330-CAN.webp,ce613495240a1fc32a603f8029545bf0e4861bcc1fa2b7a1db37a6a45dc160c1,200,
AQUALANIA-CAN-MOHITO-CLASSIC-330-CAN,CAN,Мохито классический,exact,https://img1.creatium.ru/disk2/5a/ef/46/5975fdb1b5203564567130ffb12b15491d/jb_moh_klass.png,jb_moh_klass.png,499068,868,1186,image/png,de1c6c9db0b3e80eda1ebaf73be4ae05515b715eec3b612811c96fa995837bb9,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-CAN-MOHITO-CLASSIC-330-CAN.webp,b2012beb9722536af1c66c8c812b9492181b2e26275cdf58860555cec6586b1f,200,
AQUALANIA-CAN-MOHITO-KLUBNICHNYY-330-CAN,CAN,Мохито клубничный,exact,https://img1.creatium.ru/disk2/02/5c/f9/49e239712b22206bd7de6e70c37e124f13/jb_moh_klubne.png,jb_moh_klubne.png,520273,846,1206,image/png,59aeb401a91ff31bb599de443cf17a6ead1a60757e5def13cf5233d1dc1e3f8d,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-CAN-MOHITO-KLUBNICHNYY-330-CAN.webp,55b568918d2173c3cfe762fe0cb2aaeb56a4ba4094f007b372a32396f654706c,200,
AQUALANIA-LIGHT-ANANAS-330-PETCAN,LIGHT,Ананас,exact_low_res,https://img1.creatium.ru/c9/3e/59/33760b0eeba5d25cf2d2f5e988cdd3bcc9/ananas.jpg,ananas.jpg,36999,224,200,image/jpeg,f0a2ca342cb2f97e984499e279fed58c9021505cbf1d5b8c6b3c574da85dedc3,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-ANANAS-330-PETCAN.webp,1be3a67870fbc292a070fade59d53d09c5ec1712361b5bcd27ff7b6fcc97f810,200,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются."
AQUALANIA-LIGHT-APELSIN-330-PETCAN,LIGHT,Апельсин,exact_low_res,https://img1.creatium.ru/21/2f/1e/5702ee6110ed873d05ec4fb4919305c18c/apelsin.jpg,apelsin.jpg,39216,224,200,image/jpeg,2d1e2418f89cb89b9d959b80bf4dd7cddf8b5635b961068d897e0f988ba2fb91,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-APELSIN-330-PETCAN.webp,831a151a26eeacf6724e629cb780ba399ec0f940829bf8c2a7143abf29c808f9,200,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются."
AQUALANIA-LIGHT-KLUBNIKA-330-PETCAN,LIGHT,Клубника,exact_low_res,https://img1.creatium.ru/80/b3/a1/c9359f69009cf574a308540314a5b998de/klubnika.jpg,klubnika.jpg,42514,224,200,image/jpeg,d4b1599fbe84d0133c2e9214af787fe5d3415de2a9e39024fd67cdc3f720a518,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-KLUBNIKA-330-PETCAN.webp,801179c3803e1b585ecd107960af2d7c9e788c7054853955c2e162a68fde9f85,200,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются."
AQUALANIA-LIGHT-MANGO-MARAKUYYA-330-PETCAN,LIGHT,Манго-Маракуйя,exact_low_res,https://img1.creatium.ru/30/01/c9/9a56bfd29095304fe7221f7a309a9b01d2/mango_marakuya.jpg,mango_marakuya.jpg,37184,224,200,image/jpeg,c61d926796bc3dbfd356d721a12f9330b8f1259804326da36f193892f6206bbe,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-MANGO-MARAKUYYA-330-PETCAN.webp,7ed7f5f63446c0db7010251a2316bd938acfa9f57e1efef6a95331f99f2b15fa,200,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются."
AQUALANIA-LIGHT-MOHITO-330-PETCAN,LIGHT,Мохито,exact_low_res,https://img1.creatium.ru/dc/05/ce/7bcaeba27863bf92568ca429daa51a94c9/mohito.jpg,mohito.jpg,38440,224,200,image/jpeg,1db84e0d87e033b623e0324150ca1e30426e1c563b6c383fae4f1fae239af57e,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-MOHITO-330-PETCAN.webp,26abe6cc2c4fd4549c6ea642c4fa4a3db1a57ea259aa3fd45e8a3fa67719eec7,200,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются."
