product,official_type,proposed_category,reason,confidence,is_other
«Айва»,«Айва»,Другие,Неоднозначный официальный тип — в «Другие» для ручного распределения,low,true
Безалкогольный сильногазированный напиток «Dreamix»,Безалкогольный сильногазированный напиток «Dreamix»,Газированные напитки,Лимонад / газированный безалкогольный напиток,high,false
«BLACK ROCKET»,«BLACK ROCKET»,Энергетические напитки,Официально витаминный/энергетический напиток,high,false
"Безалкогольные сильногазированные напитки ""Dreamix. Toniс""","Безалкогольные сильногазированные напитки ""Dreamix. Toniс""",Тоники,Dreamix / тоник по официальному типу,high,false
«Elf» безалкогольное,«Elf» безалкогольное,Безалкогольное пиво,Подтверждённое безалкогольное пиво,high,false
Горная родниковая вода «ТБАУ Детская»,Горная родниковая вода «ТБАУ Детская»,Питьевая вода,TBAU / горная родниковая питьевая вода,high,false
«Горная вода»,«Горная вода»,Питьевая вода,Питьевая вода,medium,false
Холодный чай «Mountea»,Холодный чай «Mountea»,Холодный чай,Холодный чай / MOUNTEA,high,false
Кола Premium LIMITED EDITION,Кола Premium LIMITED EDITION,Газированные напитки,Кола / газированный напиток,high,false
Кола Premium SUGAR FREE,Кола Premium SUGAR FREE,Газированные напитки,Кола / газированный напиток,high,false
Квас «Добрецовъ»,Квас «Добрецовъ»,Квас,Хлебный квас,high,false
Квас «Добрецовъ Бочковой»,Квас «Добрецовъ Бочковой»,Квас,Хлебный квас,high,false
Линейка натуральных напитков MOUNTEA botanic,Линейка натуральных напитков MOUNTEA botanic,Холодный чай,Холодный чай / MOUNTEA,high,false
Напиток безалкогольный сильногазированный MОХИТО,Напиток безалкогольный сильногазированный MОХИТО,Газированные напитки,Лимонад / газированный безалкогольный напиток,high,false
New Orange,New Orange,Газированные напитки,Лимонад / газированный безалкогольный напиток,high,false
Питьевая вода для кулеров,Питьевая вода для кулеров,Питьевая вода,TBAU / горная родниковая питьевая вода,high,false
"Сильногазированные безалкогольные напитки ""Хонга""","Сильногазированные безалкогольные напитки ""Хонга""",Газированные напитки,Лимонад / газированный безалкогольный напиток,high,false
Сильногазированный напиток «Лимнада»,Сильногазированный напиток «Лимнада»,Газированные напитки,Лимонад / газированный безалкогольный напиток,high,false
Сладкие газированные напитки,Сладкие газированные напитки,Газированные напитки,Лимонад / газированный безалкогольный напиток,high,false
Сладкие газированные напитки «Premium»,Сладкие газированные напитки «Premium»,Газированные напитки,Лимонад / газированный безалкогольный напиток,high,false
Сладкие газированные напитки линейки «Ретро»,Сладкие газированные напитки линейки «Ретро»,Газированные напитки,Лимонад / газированный безалкогольный напиток,high,false
«Светлое» безалкогольное,«Светлое» безалкогольное,Безалкогольное пиво,Подтверждённое безалкогольное пиво,high,false
Сильногазированный напиток «SWIPE»,Сильногазированный напиток «SWIPE»,Газированные напитки,Лимонад / газированный безалкогольный напиток,high,false
«ВкусВилл»,«ВкусВилл»,Питьевая вода,TBAU / горная родниковая питьевая вода,high,false
Витаминный энергетический напиток Rocket Ride,Витаминный энергетический напиток Rocket Ride,Энергетические напитки,Официально витаминный/энергетический напиток,high,false
Минеральная лечебно-столовая вода «Казбек-Аква»,Минеральная лечебно-столовая вода «Казбек-Аква»,Минеральная вода,Kazbek-Aqua / минеральная лечебно-столовая вода,high,false
Горная родниковая вода «ТБАУ»,Горная родниковая вода «ТБАУ»,Питьевая вода,TBAU / горная родниковая питьевая вода,high,false
