slug,official_name,url,source_categories,variant_count
ajva,«Айва»,https://www.bavaria-group.ru/beer-product/ajva,/beer-category/stm-dla-partnerov,1
avaral,«Аварал»,https://www.bavaria-group.ru/beer-product/avaral,/beer-category/stm-dla-partnerov,1
bezalkogolnyj-silnogazirovannyj-napitok-dreamix,Безалкогольный сильногазированный напиток «Dreamix»,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,/beer-category/bezalkogolnye-napitki-bavaria,4
black-rocket,«BLACK ROCKET»,https://www.bavaria-group.ru/beer-product/black-rocket,/beer-category/stm-dla-partnerov,2
bojlernoe-pivo,Советская история бойлерного вдохновения,https://www.bavaria-group.ru/beer-product/bojlernoe-pivo,/beer-category/pivo-i-sidr,1
cola-limited-edition,«Cola Limited Edition»,https://www.bavaria-group.ru/beer-product/cola-limited-edition,/beer-category/stm-dla-partnerov,2
dreamix,"Безалкогольные сильногазированные напитки ""Dreamix. Toniс""",https://www.bavaria-group.ru/beer-product/dreamix,/beer-category/bezalkogolnye-napitki-bavaria,2
elf-bezalkogolnoe,«Elf» безалкогольное,https://www.bavaria-group.ru/beer-product/elf-bezalkogolnoe,/beer-category/pivo-i-sidr,1
gornaa-rodnikovaa-voda-tbau-detskaa,Горная родниковая вода «ТБАУ Детская»,https://www.bavaria-group.ru/beer-product/gornaa-rodnikovaa-voda-tbau-detskaa,/beer-category/gornaa-rodnikovaa-voda-tbau,1
gornaa-voda,«Горная вода»,https://www.bavaria-group.ru/beer-product/gornaa-voda,/beer-category/stm-dla-partnerov,3
holodnyj-caj-mountea,Холодный чай «Mountea»,https://www.bavaria-group.ru/beer-product/holodnyj-caj-mountea,/beer-category/bezalkogolnye-napitki-bavaria,2
kola-limited-edition,Кола Premium LIMITED EDITION,https://www.bavaria-group.ru/beer-product/kola-limited-edition,/beer-category/bezalkogolnye-napitki-bavaria,1
kola-limited-edition-2,«Cola Limited Edition»,https://www.bavaria-group.ru/beer-product/kola-limited-edition-2,/beer-category/stm-dla-partnerov,3
kola-premium-sugar-free,Кола Premium SUGAR FREE,https://www.bavaria-group.ru/beer-product/kola-premium-sugar-free,/beer-category/bezalkogolnye-napitki-bavaria,1
kvas-dobrecov,Квас «Добрецовъ»,https://www.bavaria-group.ru/beer-product/kvas-dobrecov,/beer-category/bezalkogolnye-napitki-bavaria,1
kvas-dobrecov-bockovoj,Квас «Добрецовъ Бочковой»,https://www.bavaria-group.ru/beer-product/kvas-dobrecov-bockovoj,/beer-category/bezalkogolnye-napitki-bavaria,1
