proposed_sku,source_image_url,local_image_path,sha256,bytes,status,notes
BAVARIA-AYVA-AYVA-GAZIROVANNAYA-500-GLASS,https://www.bavaria-group.ru/files/beer_items/93_1726236498.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-ayva-ayva-0-5-l-steklo.png,857190772fe54f85b52a5a500c2ca49d3c5e01115ad695c650695e6c9d5e8f55,704273,downloaded,
BAVARIA-AYVA-AYVA-NEGAZIROVANNAYA-500-GLASS,https://www.bavaria-group.ru/files/beer_items/93_1726236498.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-ayva-ayva-0-5-l-steklo.png,857190772fe54f85b52a5a500c2ca49d3c5e01115ad695c650695e6c9d5e8f55,704273,reused,Дубликат содержимого — переиспользован файл
BAVARIA-AYVA-AYVA-GAZIROVANNAYA-500-PET,https://www.bavaria-group.ru/files/beer_items/93_1726236498.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-ayva-ayva-0-5-l-steklo.png,857190772fe54f85b52a5a500c2ca49d3c5e01115ad695c650695e6c9d5e8f55,704273,reused,Дубликат содержимого — переиспользован файл
BAVARIA-AYVA-AYVA-NEGAZIROVANNAYA-500-PET,https://www.bavaria-group.ru/files/beer_items/93_1726236498.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-ayva-ayva-0-5-l-steklo.png,857190772fe54f85b52a5a500c2ca49d3c5e01115ad695c650695e6c9d5e8f55,704273,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BLACK-ROCKET-BLACK-ROCKET-450-CAN,https://www.bavaria-group.ru/files/beer_items/89_1726224339.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-black-rocket-black-rocket-0-45-l-banka.png,57ac2a68409470816065dd8f426fa948da7ea9e1f0a549eed0768cbe7214e3e3,1660472,downloaded,
BAVARIA-BLACK-ROCKET-BLACK-ROCKET-500-PET,https://www.bavaria-group.ru/files/beer_items/90_1726224400.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-black-rocket-black-rocket-0-5-l-pet.png,d5d6806651c08d39b256e997f96c3d3dc3ca87d7b3649257c7cf45633030131d,1866107,downloaded,
BAVARIA-DREAMIX-INDIAN-TONIK-GAZIROVANNAYA-1000-PET,https://www.bavaria-group.ru/files/beer_items/127_1775207748.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dreamix-indian-tonik-1-l-pet.png,5492023dd9cfe7b7c99e8b56ac757d657fe2be93400cd8c46bb98985027d4f76,677065,downloaded,
BAVARIA-DREAMIX-INDIAN-TONIK-GAZIROVANNAYA-330-GLASS,https://www.bavaria-group.ru/files/beer_items/127_1775207748.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dreamix-indian-tonik-1-l-pet.png,5492023dd9cfe7b7c99e8b56ac757d657fe2be93400cd8c46bb98985027d4f76,677065,reused,Дубликат содержимого — переиспользован файл
BAVARIA-DREAMIX-BITTER-LEMON-GAZIROVANNAYA-1000-PET,https://www.bavaria-group.ru/files/beer_items/128_1775214996.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dreamix-bitter-lemon-1-l-pet.png,9568c0112fb15c7ad6562c180ae32d13ec5c326fdbb1ca65d727d8f927c460ae,2677237,downloaded,
BAVARIA-DREAMIX-BITTER-LEMON-GAZIROVANNAYA-330-GLASS,https://www.bavaria-group.ru/files/beer_items/128_1775214996.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dreamix-bitter-lemon-1-l-pet.png,9568c0112fb15c7ad6562c180ae32d13ec5c326fdbb1ca65d727d8f927c460ae,2677237,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-ELF-450-GLASS,https://www.bavaria-group.ru/files/beer_items/55_1740991309.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-elf-0-45-l-steklo.jpg,252418e80c2b75d53ef5e7a1ff4060c5a06b21373c9d493af09424f794c899cb,775339,downloaded,
BAVARIA-TBAU-GORNAA-RODNIKOVAA-VODA-TBAU-5000-PET,https://www.bavaria-group.ru/files/beer_items/30_1758714960.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-tbau-gornaya-rodnikovaya-5-l-pet.png,97742678bda72352374cdbe1c051801cdec7f29b5ed24a7081309a6a7bd8c1be,1304825,downloaded,
BAVARIA-TBAU-GORNAA-RODNIKOVAA-VODA-TBAU-1500-PET,https://www.bavaria-group.ru/files/beer_items/30_1758714960.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-tbau-gornaya-rodnikovaya-5-l-pet.png,97742678bda72352374cdbe1c051801cdec7f29b5ed24a7081309a6a7bd8c1be,1304825,reused,Дубликат содержимого — переиспользован файл
