proposed_sku,official_name,proposed_name,brand,manufacturer,category,volume,package,taste,carbonation,sugar,alcohol_percent,source_url,image_url,local_image_path,image_class,duplicate_status,confidence,review_status,notes,sources
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,«Светлое» безалкогольное,"Пиво безалкогольное Светлое, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,"0,45 л",стекло,Светлое,,,0,https://www.bavaria-group.ru/beer-category/pivo-i-sidr,https://www.bavaria-group.ru/files/beer_items/52_1740991151.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-svetloe-0-45-l-steklo.jpg,exact-site,new,high,APPROVED,Пиктограммы/упаковки на странице безалкогольного пива; 0% алк.,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pNA-beer-section; website-dry-run
BAVARIA-BAVARIYA-SVETLOE-450-CAN,«Светлое» безалкогольное,"Пиво безалкогольное Светлое, 0,45 л, банка",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,"0,45 л",банка,Светлое,,,0,https://www.bavaria-group.ru/beer-category/pivo-i-sidr,,,none,new,high,APPROVED,"Пиктограммы/упаковки на странице безалкогольного пива; 0% алк.; банка подтверждена PDF, exact-изображение этой тары с сайта отсутствует",pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pNA-beer-section; website-dry-run
BAVARIA-BAVARIYA-ELF-450-GLASS,«Эльф» безалкогольное,"Пиво безалкогольное Эльф, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,"0,45 л",стекло,Эльф,,,0,https://www.bavaria-group.ru/beer-category/pivo-i-sidr,https://www.bavaria-group.ru/files/beer_items/55_1740991309.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-elf-0-45-l-steklo.jpg,exact-site,new,high,APPROVED,Пиктограммы/упаковки на странице безалкогольного пива; 0% алк.,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pNA-beer-section; website-dry-run
BAVARIA-BAVARIYA-ELF-450-CAN,«Эльф» безалкогольное,"Пиво безалкогольное Эльф, 0,45 л, банка",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,"0,45 л",банка,Эльф,,,0,https://www.bavaria-group.ru/beer-category/pivo-i-sidr,,,none,new,high,APPROVED,"Пиктограммы/упаковки на странице безалкогольного пива; 0% алк.; банка подтверждена PDF, exact-изображение этой тары с сайта отсутствует",pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pNA-beer-section; website-dry-run
BAVARIA-BAVARIYA-GALLAGHER-450-GLASS,«Gallagher» безалкогольное,"Пиво безалкогольное Gallagher, 0,45 л, стекло",Gallagher,ГК ПД «Бавария»,Безалкогольное пиво,"0,45 л",стекло,Gallagher,,,0,https://www.bavaria-group.ru/beer-category/pivo-i-sidr,,,none,new,high,APPROVED,Фасовки подтверждены на странице безалкогольного пива; не путать с алкогольным лагером,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pNA-beer-section; website-dry-run
BAVARIA-BAVARIYA-GALLAGHER-450-CAN,«Gallagher» безалкогольное,"Пиво безалкогольное Gallagher, 0,45 л, банка",Gallagher,ГК ПД «Бавария»,Безалкогольное пиво,"0,45 л",банка,Gallagher,,,0,https://www.bavaria-group.ru/beer-category/pivo-i-sidr,,,none,new,high,APPROVED,Фасовки подтверждены на странице безалкогольного пива; не путать с алкогольным лагером,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pNA-beer-section; website-dry-run
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный «Бавария Premium» Груша, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"0,5 л",стекло,Груша,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,shared-line-image,new,high,APPROVED,Вкус×тара: сайт assortment + PDF Premium page tastes/packs,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pPremium-section; website
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный «Бавария Premium» Груша, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"1,2 л",ПЭТ,Груша,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,shared-line-image,new,high,APPROVED,Вкус×тара: сайт assortment + PDF Premium page tastes/packs,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pPremium-section; website
BAVARIA-BAVARIYA-PREMIUM-GRANAT-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный «Бавария Premium» Гранат, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"0,5 л",стекло,Гранат,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,shared-line-image,new,high,APPROVED,Вкус×тара: сайт assortment + PDF Premium page tastes/packs,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pPremium-section; website
BAVARIA-BAVARIYA-PREMIUM-GRANAT-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный «Бавария Premium» Гранат, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"1,2 л",ПЭТ,Гранат,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,shared-line-image,new,high,APPROVED,Вкус×тара: сайт assortment + PDF Premium page tastes/packs,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pPremium-section; website
