SKU,brand,field,value,pdf_name,page_number,evidence_type,confidence,notes
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,Бавария,alcohol_status,безалкогольное / 0% алк.,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,Бавария,alcohol_percent,0,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,Бавария,volume,"0,45 л",БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,Бавария,package,стекло,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-packaging,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,Бавария,line,Светлое,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-SVETLOE-450-CAN,Бавария,alcohol_status,безалкогольное / 0% алк.,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-SVETLOE-450-CAN,Бавария,alcohol_percent,0,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-SVETLOE-450-CAN,Бавария,volume,"0,45 л",БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-SVETLOE-450-CAN,Бавария,package,банка,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-packaging,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-SVETLOE-450-CAN,Бавария,line,Светлое,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-ELF-450-GLASS,Бавария,alcohol_status,безалкогольное / 0% алк.,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-ELF-450-GLASS,Бавария,alcohol_percent,0,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-ELF-450-GLASS,Бавария,volume,"0,45 л",БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-ELF-450-GLASS,Бавария,package,стекло,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-packaging,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-ELF-450-GLASS,Бавария,line,Эльф,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-ELF-450-CAN,Бавария,alcohol_status,безалкогольное / 0% алк.,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-ELF-450-CAN,Бавария,alcohol_percent,0,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-ELF-450-CAN,Бавария,volume,"0,45 л",БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-ELF-450-CAN,Бавария,package,банка,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-packaging,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-ELF-450-CAN,Бавария,line,Эльф,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
BAVARIA-BAVARIYA-GALLAGHER-450-GLASS,Gallagher,alcohol_status,безалкогольное / 0% алк.,БУКЛЕТ БАВАРИЯ 2026.pdf,NA-beer-section,pdf-text,high,Страница «Безалкогольное пиво»; не смешивать с алкогольными версиями
