proposed_sku,official_name,proposed_name,brand,manufacturer,category,category_reason,volume,package,taste,carbonation,sugar,alcohol_percent,source_url,image_url,local_image_path,duplicate_status,confidence,notes,decision_reason,evidence_summary,image_match
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,«Светлое» безалкогольное,"Пиво безалкогольное Бавария Светлое, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,Официальная карточка безалкогольного пива + страница буклета «Безалкогольное пиво»,"0,45 л",стекло,Светлое,,,0.5,https://www.bavaria-group.ru/beer-product/svetloe-bezalkogolnoe,https://www.bavaria-group.ru/files/beer_items/52_1740991151.jpg,,new,high,,Безалкогольный статус и фасовка подтверждены сайтом; буклет (бриф) подтверждает линейку 0% алк.,"site: Алкоголь 0,5% об.; Стекло 0,45 л | ЖБ 0,45 л | pdf-brief: страница «Безалкогольное пиво»",exact
BAVARIA-BAVARIYA-SVETLOE-450-CAN,«Светлое» безалкогольное,"Пиво безалкогольное Бавария Светлое, 0,45 л, банка",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,Официальная карточка безалкогольного пива + страница буклета «Безалкогольное пиво»,"0,45 л",банка,Светлое,,,0.5,https://www.bavaria-group.ru/beer-product/svetloe-bezalkogolnoe,https://www.bavaria-group.ru/files/beer_items/52_1740991151.jpg,,new,high,,Безалкогольный статус и фасовка подтверждены сайтом; буклет (бриф) подтверждает линейку 0% алк.,"site: Алкоголь 0,5% об.; Стекло 0,45 л | ЖБ 0,45 л | pdf-brief: страница «Безалкогольное пиво»",shared-line-image
BAVARIA-BAVARIYA-ELF-450-GLASS,«Elf» безалкогольное,"Пиво безалкогольное Бавария Elf, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,Официальная карточка безалкогольного пива,"0,45 л",стекло,Elf,,,0.5,https://www.bavaria-group.ru/beer-product/elf-bezalkogolnoe,https://www.bavaria-group.ru/files/beer_items/55_1740991309.jpg,,new,high,,"Сайт: 0,5% об. + стекло 0,45 л; буклет подтверждает NA-линейку",site + pdf-brief,exact
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Груша газированная, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,Premium лимонад / газированный напиток,"0,5 л",стекло,Груша,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,,new,high,,"Вкус×тара на официальной карточке Premium (стекло 0,5)",site assortment text,shared-line-image
BAVARIA-BAVARIYA-PREMIUM-TARHUN-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Тархун газированная, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,Premium лимонад / газированный напиток,"0,5 л",стекло,Тархун,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,,new,high,,"Вкус×тара на официальной карточке Premium (стекло 0,5)",site assortment text,shared-line-image
BAVARIA-BAVARIYA-PREMIUM-APELSIN-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Апельсин газированная, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,Premium лимонад / газированный напиток,"0,5 л",стекло,Апельсин,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,,new,high,,"Вкус×тара на официальной карточке Premium (стекло 0,5)",site assortment text,shared-line-image
BAVARIA-BAVARIYA-PREMIUM-GRANAT-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Гранат газированная, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,Premium лимонад / газированный напиток,"0,5 л",стекло,Гранат,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,,new,high,,"Вкус×тара на официальной карточке Premium (стекло 0,5)",site assortment text,shared-line-image
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Фейхоа газированная, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,Premium лимонад / газированный напиток,"0,5 л",стекло,Фейхоа,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,,new,high,,"Вкус×тара на официальной карточке Premium (стекло 0,5)",site assortment text,shared-line-image
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Вишня газированная, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,Premium лимонад / газированный напиток,"0,5 л",стекло,Вишня,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,,new,high,,"Вкус×тара на официальной карточке Premium (стекло 0,5)",site assortment text,shared-line-image
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Груша газированная, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,Premium лимонад / газированный напиток,"1,2 л",ПЭТ,Груша,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,,new,high,,"Вкус×тара на официальной карточке Premium (ПЭТ 1,2)",site assortment text,shared-line-image
