proposed_sku,status,image_url,image_match,proposed_name,notes
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/52_1740991151.jpg,exact,"Пиво безалкогольное Бавария Светлое, 0,45 л, стекло",Безалкогольный статус и фасовка подтверждены сайтом; буклет (бриф) подтверждает линейку 0% алк.
BAVARIA-BAVARIYA-SVETLOE-450-CAN,approved,https://www.bavaria-group.ru/files/beer_items/52_1740991151.jpg,shared-line-image,"Пиво безалкогольное Бавария Светлое, 0,45 л, банка",Безалкогольный статус и фасовка подтверждены сайтом; буклет (бриф) подтверждает линейку 0% алк.
BAVARIA-BAVARIYA-ELF-450-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/55_1740991309.jpg,exact,"Пиво безалкогольное Бавария Elf, 0,45 л, стекло","Сайт: 0,5% об. + стекло 0,45 л; буклет подтверждает NA-линейку"
BAVARIA-BAVARIYA-ELF-450-CAN,manual,https://www.bavaria-group.ru/files/beer_items/55_1740991309.jpg,none,"Пиво безалкогольное Бавария Elf, 0,45 л, банка","PDF-файл недоступен для визуальной проверки банки Elf NA; сайт показывает только стекло 0,45. Бриф PDF утверждает банку — оставить до визуала."
BAVARIA-BAVARIYA-GALLAGHER-NA-450-GLASS,manual,,none,"Пиво безалкогольное Бавария Gallagher, 0,45 л, стекло","Безалкогольный статус Gallagher подтверждён брифом PDF (0% алк., стекло/банка 0,45), но PDF-файл не смонтирован — без визуала в approved не переводим. Сайтовая карточка без % об. не используется как источник NA."
BAVARIA-BAVARIYA-GALLAGHER-NA-450-CAN,manual,,none,"Пиво безалкогольное Бавария Gallagher, 0,45 л, банка","Безалкогольный статус Gallagher подтверждён брифом PDF (0% алк., стекло/банка 0,45), но PDF-файл не смонтирован — без визуала в approved не переводим. Сайтовая карточка без % об. не используется как источник NA."
BAVARIA-BAVARIYA-NORDISCH-NA-450-CAN,manual,,none,"Пиво безалкогольное Бавария Nordisch Bier, 0,45 л (тара уточняется)","Объём 0,45 л и NA-статус — по брифу PDF; банка/стекло требует визуальной иконки буклета. Не копировать фасовки алкогольного Nordisch."
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-500-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,shared-line-image,"Напиток газированный Бавария Premium Груша газированная, 0,5 л, стекло","Вкус×тара на официальной карточке Premium (стекло 0,5)"
BAVARIA-BAVARIYA-PREMIUM-TARHUN-500-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,shared-line-image,"Напиток газированный Бавария Premium Тархун газированная, 0,5 л, стекло","Вкус×тара на официальной карточке Premium (стекло 0,5)"
BAVARIA-BAVARIYA-PREMIUM-APELSIN-500-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,shared-line-image,"Напиток газированный Бавария Premium Апельсин газированная, 0,5 л, стекло","Вкус×тара на официальной карточке Premium (стекло 0,5)"
BAVARIA-BAVARIYA-PREMIUM-GRANAT-500-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,shared-line-image,"Напиток газированный Бавария Premium Гранат газированная, 0,5 л, стекло","Вкус×тара на официальной карточке Premium (стекло 0,5)"
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-500-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,shared-line-image,"Напиток газированный Бавария Premium Фейхоа газированная, 0,5 л, стекло","Вкус×тара на официальной карточке Premium (стекло 0,5)"
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-500-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,shared-line-image,"Напиток газированный Бавария Premium Вишня газированная, 0,5 л, стекло","Вкус×тара на официальной карточке Premium (стекло 0,5)"
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-1200-PET,approved,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,shared-line-image,"Напиток газированный Бавария Premium Груша газированная, 1,2 л, ПЭТ","Вкус×тара на официальной карточке Premium (ПЭТ 1,2)"
BAVARIA-BAVARIYA-PREMIUM-TARHUN-1200-PET,approved,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,shared-line-image,"Напиток газированный Бавария Premium Тархун газированная, 1,2 л, ПЭТ","Вкус×тара на официальной карточке Premium (ПЭТ 1,2)"
BAVARIA-BAVARIYA-PREMIUM-GRANAT-1200-PET,approved,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,shared-line-image,"Напиток газированный Бавария Premium Гранат газированная, 1,2 л, ПЭТ","Вкус×тара на официальной карточке Premium (ПЭТ 1,2)"
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-1200-PET,approved,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,shared-line-image,"Напиток газированный Бавария Premium Фейхоа газированная, 1,2 л, ПЭТ","Вкус×тара на официальной карточке Premium (ПЭТ 1,2)"
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-1200-PET,approved,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,shared-line-image,"Напиток газированный Бавария Premium Вишня газированная, 1,2 л, ПЭТ","Вкус×тара на официальной карточке Premium (ПЭТ 1,2)"
BAVARIA-BAVARIYA-PREMIUM-APELSIN-1200-PET,manual,,none,"Напиток газированный Бавария Premium Апельсин газированная, 1,2 л, ПЭТ",Комбинация вкус×тара не подтверждена ассортиментным текстом сайта; буклет требует визуал
BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-500-GLASS,manual,,none,"Напиток газированный Бавария Premium Виноград газированная, 0,5 л, стекло",Комбинация вкус×тара не подтверждена ассортиментным текстом сайта; буклет требует визуал
BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-1200-PET,manual,,none,"Напиток газированный Бавария Premium Виноград газированная, 1,2 л, ПЭТ",Комбинация вкус×тара не подтверждена ассортиментным текстом сайта; буклет требует визуал
BAVARIA-BAVARIYA-GRUSHA-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,shared-line-image,"Напиток газированный Бавария Груша газированная, 1,5 л, ПЭТ","Site assortment ПЭТ 1,5"
BAVARIA-BAVARIYA-APELSIN-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,shared-line-image,"Напиток газированный Бавария Апельсин газированная, 1,5 л, ПЭТ","Site assortment ПЭТ 1,5"
BAVARIA-BAVARIYA-TARHUN-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,shared-line-image,"Напиток газированный Бавария Тархун газированная, 1,5 л, ПЭТ","Site assortment ПЭТ 1,5"
BAVARIA-BAVARIYA-PITAHAYYA-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,shared-line-image,"Напиток газированный Бавария Питахайя газированная, 1,5 л, ПЭТ","Site assortment ПЭТ 1,5"
BAVARIA-BAVARIYA-MOHITO-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,shared-line-image,"Напиток газированный Бавария Мохито газированная, 1,5 л, ПЭТ","Site assortment ПЭТ 1,5"
BAVARIA-BAVARIYA-KOLA-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,shared-line-image,"Напиток газированный Бавария Кола газированная, 1,5 л, ПЭТ","Site assortment ПЭТ 1,5"
BAVARIA-BAVARIYA-GRUSHA-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,shared-line-image,"Напиток газированный Бавария Груша газированная, 0,5 л, ПЭТ","Site assortment ПЭТ 0,5"
BAVARIA-BAVARIYA-TARHUN-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,shared-line-image,"Напиток газированный Бавария Тархун газированная, 0,5 л, ПЭТ","Site assortment ПЭТ 0,5"
BAVARIA-BAVARIYA-KOLA-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,shared-line-image,"Напиток газированный Бавария Кола газированная, 0,5 л, ПЭТ","Site assortment ПЭТ 0,5"
BAVARIA-BAVARIYA-TARHUN-450-GLASS,manual,,none,"Напиток газированный Бавария Тархун газированная, 0,45 л, стекло","Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен"
BAVARIA-BAVARIYA-GRUSHA-450-GLASS,manual,,none,"Напиток газированный Бавария Груша газированная, 0,45 л, стекло","Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен"
BAVARIA-BAVARIYA-PITAHAYYA-450-GLASS,manual,,none,"Напиток газированный Бавария Питахайя газированная, 0,45 л, стекло","Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен"
BAVARIA-BAVARIYA-APELSIN-450-GLASS,manual,,none,"Напиток газированный Бавария Апельсин газированная, 0,45 л, стекло","Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен"
BAVARIA-BAVARIYA-KOLA-450-GLASS,manual,,none,"Напиток газированный Бавария Кола газированная, 0,45 л, стекло","Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен"
BAVARIA-BAVARIYA-MOHITO-450-GLASS,manual,,none,"Напиток газированный Бавария Мохито газированная, 0,45 л, стекло","Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен"
BAVARIA-BAVARIYA-YABLOKO-450-GLASS,manual,,none,"Напиток газированный Бавария Яблоко газированная, 0,45 л, стекло","Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен"
BAVARIA-LIMNADA-ANANAS-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,shared-line-image,"Напиток газированный Лимнада Ананас газированная, 1,5 л, ПЭТ","Site: Ананас/Крем-Сода/Дюшес/Барбарис ПЭТ 1,5"
BAVARIA-LIMNADA-KREM-SODA-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,shared-line-image,"Напиток газированный Лимнада Крем-Сода газированная, 1,5 л, ПЭТ","Site: Ананас/Крем-Сода/Дюшес/Барбарис ПЭТ 1,5"
BAVARIA-LIMNADA-DYUSHES-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,shared-line-image,"Напиток газированный Лимнада Дюшес газированная, 1,5 л, ПЭТ","Site: Ананас/Крем-Сода/Дюшес/Барбарис ПЭТ 1,5"
BAVARIA-LIMNADA-BARBARIS-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,shared-line-image,"Напиток газированный Лимнада Барбарис газированная, 1,5 л, ПЭТ","Site: Ананас/Крем-Сода/Дюшес/Барбарис ПЭТ 1,5"
BAVARIA-LIMNADA-KREM-SODA-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,shared-line-image,"Напиток газированный Лимнада Крем-Сода газированная, 0,5 л, ПЭТ","Site: Крем-Сода/Дюшес/Барбарис ПЭТ 0,5 (без Ананас)"
BAVARIA-LIMNADA-DYUSHES-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,shared-line-image,"Напиток газированный Лимнада Дюшес газированная, 0,5 л, ПЭТ","Site: Крем-Сода/Дюшес/Барбарис ПЭТ 0,5 (без Ананас)"
BAVARIA-LIMNADA-BARBARIS-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,shared-line-image,"Напиток газированный Лимнада Барбарис газированная, 0,5 л, ПЭТ","Site: Крем-Сода/Дюшес/Барбарис ПЭТ 0,5 (без Ананас)"
BAVARIA-BAVARIYA-RETRO-YUZHNAYA-CHAYKA-450-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,exact,"Напиток газированный Бавария Южная Чайка газированная, 0,45 л, стекло",Официальные вкусы Ретро с уникальными SKU (коллизия dry-run устранена)
BAVARIA-BAVARIYA-RETRO-YUZHNAYA-CHAYKA-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,exact,"Напиток газированный Бавария Южная Чайка газированная, 0,5 л, ПЭТ",Официальные вкусы Ретро с уникальными SKU (коллизия dry-run устранена)
BAVARIA-BAVARIYA-RETRO-RODNYE-OGONKI-450-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,exact,"Напиток газированный Бавария Родные Огоньки газированная, 0,45 л, стекло",Официальные вкусы Ретро с уникальными SKU (коллизия dry-run устранена)
BAVARIA-BAVARIYA-RETRO-RODNYE-OGONKI-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,exact,"Напиток газированный Бавария Родные Огоньки газированная, 0,5 л, ПЭТ",Официальные вкусы Ретро с уникальными SKU (коллизия dry-run устранена)
