proposed_sku,official_name,proposed_name,brand,manufacturer,category,category_reason,volume,package,taste,carbonation,sugar,alcohol_percent,source_url,image_url,local_image_path,duplicate_status,confidence,notes,decision_reason,evidence_summary,image_match
BAVARIA-BAVARIYA-ELF-450-CAN,«Elf» безалкогольное,"Пиво безалкогольное Бавария Elf, 0,45 л, банка",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,"Буклет: банка 0,45 л для Elf NA; на сайте банка указана только у алкогольного Elf","0,45 л",банка,Elf,,,0.5,https://www.bavaria-group.ru/beer-product/elf-bezalkogolnoe,https://www.bavaria-group.ru/files/beer_items/55_1740991309.jpg,,new,medium,,"PDF-файл недоступен для визуальной проверки банки Elf NA; сайт показывает только стекло 0,45. Бриф PDF утверждает банку — оставить до визуала.",pdf-brief pending visual; site pack=glass only,none
BAVARIA-BAVARIYA-GALLAGHER-NA-450-GLASS,Gallagher безалкогольное,"Пиво безалкогольное Бавария Gallagher, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,"Буклет: страница «Безалкогольное пиво», 0% алк.; сайт-карточка Gallagher без % — алкогольный близнец отдельно","0,45 л",стекло,Gallagher,,,0,https://www.bavaria-group.ru/beer-product/svetlyj-lager-gallagher,,,new,medium,,"Безалкогольный статус Gallagher подтверждён брифом PDF (0% алк., стекло/банка 0,45), но PDF-файл не смонтирован — без визуала в approved не переводим. Сайтовая карточка без % об. не используется как источник NA.",pdf-brief; site card insufficient,none
BAVARIA-BAVARIYA-GALLAGHER-NA-450-CAN,Gallagher безалкогольное,"Пиво безалкогольное Бавария Gallagher, 0,45 л, банка",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,"Буклет: страница «Безалкогольное пиво», 0% алк.; сайт-карточка Gallagher без % — алкогольный близнец отдельно","0,45 л",банка,Gallagher,,,0,https://www.bavaria-group.ru/beer-product/svetlyj-lager-gallagher,,,new,medium,,"Безалкогольный статус Gallagher подтверждён брифом PDF (0% алк., стекло/банка 0,45), но PDF-файл не смонтирован — без визуала в approved не переводим. Сайтовая карточка без % об. не используется как источник NA.",pdf-brief; site card insufficient,none
BAVARIA-BAVARIYA-NORDISCH-NA-450-CAN,Nordisch Bier безалкогольное,"Пиво безалкогольное Бавария Nordisch Bier, 0,45 л (тара уточняется)",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,Буклет: NA-линейка; тип тары на иконке не подтверждён,"0,45 л",банка,Nordisch Bier,,,0,https://www.bavaria-group.ru/beer-product/nordisch-bier,,,new,low,,"Объём 0,45 л и NA-статус — по брифу PDF; банка/стекло требует визуальной иконки буклета. Не копировать фасовки алкогольного Nordisch.",pdf-brief volume only,none
BAVARIA-BAVARIYA-PREMIUM-APELSIN-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Апельсин газированная, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"1,2 л",ПЭТ,Апельсин,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,,,new,low,,Комбинация вкус×тара не подтверждена ассортиментным текстом сайта; буклет требует визуал,pdf-brief vs site gap,none
BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Виноград газированная, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",стекло,Виноград,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,,,new,low,,Комбинация вкус×тара не подтверждена ассортиментным текстом сайта; буклет требует визуал,pdf-brief vs site gap,none
BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Виноград газированная, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"1,2 л",ПЭТ,Виноград,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,,,new,low,,Комбинация вкус×тара не подтверждена ассортиментным текстом сайта; буклет требует визуал,pdf-brief vs site gap,none
BAVARIA-BAVARIYA-TARHUN-450-GLASS,Сладкие газированные напитки,"Напиток газированный Бавария Тархун газированная, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,45 л",стекло,Тархун,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,low,,"Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен",pdf-brief,none
BAVARIA-BAVARIYA-GRUSHA-450-GLASS,Сладкие газированные напитки,"Напиток газированный Бавария Груша газированная, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,45 л",стекло,Груша,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,low,,"Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен",pdf-brief,none
BAVARIA-BAVARIYA-PITAHAYYA-450-GLASS,Сладкие газированные напитки,"Напиток газированный Бавария Питахайя газированная, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,45 л",стекло,Питахайя,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,low,,"Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен",pdf-brief,none
BAVARIA-BAVARIYA-APELSIN-450-GLASS,Сладкие газированные напитки,"Напиток газированный Бавария Апельсин газированная, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,45 л",стекло,Апельсин,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,low,,"Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен",pdf-brief,none
BAVARIA-BAVARIYA-KOLA-450-GLASS,Сладкие газированные напитки,"Напиток газированный Бавария Кола газированная, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,45 л",стекло,Кола,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,low,,"Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен",pdf-brief,none
BAVARIA-BAVARIYA-MOHITO-450-GLASS,Сладкие газированные напитки,"Напиток газированный Бавария Мохито газированная, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,45 л",стекло,Мохито,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,low,,"Стекло 0,45 упомянуто в брифе PDF как показанная тара линейки, но вкус×стекло на сайте не разложен",pdf-brief,none
