proposed_sku,official_name,proposed_name,brand,manufacturer,category,category_reason,volume,package,taste,carbonation,sugar,alcohol_percent,source_url,image_url,local_image_path,duplicate_status,confidence,notes,decision_reason,evidence_summary,image_match,pdf_page,source_site,source_pdf
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,"Пиво безалкогольное Бавария Светлое, 0,45 л, стекло","Пиво безалкогольное Бавария Светлое, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,"0,45 л",стекло,Светлое,,,0,https://www.bavaria-group.ru/beer-product/svetloe-bezalkogolnoe,https://www.bavaria-group.ru/files/beer_items/52_1740991151.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-svetloe-0-45-l-steklo.jpg,new,high,,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,pdf-image p.11 + site NA cards where present,exact,11,site NA card,"p.11 Безалкогольное пиво, 0% Алк., pack icons"
BAVARIA-BAVARIYA-SVETLOE-450-CAN,"Пиво безалкогольное Бавария Светлое, 0,45 л, банка","Пиво безалкогольное Бавария Светлое, 0,45 л, банка",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,"0,45 л",банка,Светлое,,,0,https://www.bavaria-group.ru/beer-product/svetloe-bezalkogolnoe,https://www.bavaria-group.ru/files/beer_items/52_1740991151.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-svetloe-0-45-l-steklo.jpg,new,high,,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,pdf-image p.11 + site NA cards where present,exact,11,site NA card,"p.11 Безалкогольное пиво, 0% Алк., pack icons"
BAVARIA-BAVARIYA-ELF-450-GLASS,"Пиво безалкогольное Бавария Elf, 0,45 л, стекло","Пиво безалкогольное Бавария Elf, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,"0,45 л",стекло,Elf,,,0,https://www.bavaria-group.ru/beer-product/elf-bezalkogolnoe,https://www.bavaria-group.ru/files/beer_items/55_1740991309.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-elf-0-45-l-steklo.jpg,new,high,,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,pdf-image p.11 + site NA cards where present,exact,11,site NA card,"p.11 Безалкогольное пиво, 0% Алк., pack icons"
BAVARIA-BAVARIYA-ELF-450-CAN,"Пиво безалкогольное Бавария Elf, 0,45 л, банка","Пиво безалкогольное Бавария Elf, 0,45 л, банка",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,"0,45 л",банка,Elf,,,0,https://www.bavaria-group.ru/beer-product/elf-bezalkogolnoe,,,new,high,,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,pdf-image p.11 + site NA cards where present,exact,11,site NA card,"p.11 Безалкогольное пиво, 0% Алк., pack icons"
BAVARIA-BAVARIYA-GALLAGHER-NA-450-GLASS,"Пиво безалкогольное Бавария Gallagher, 0,45 л, стекло","Пиво безалкогольное Бавария Gallagher, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,"0,45 л",стекло,Gallagher,,,0,https://www.bavaria-group.ru,,,new,high,,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,pdf-image p.11 + site NA cards where present,exact,11,,"p.11 Безалкогольное пиво, 0% Алк., pack icons"
BAVARIA-BAVARIYA-GALLAGHER-NA-450-CAN,"Пиво безалкогольное Бавария Gallagher, 0,45 л, банка","Пиво безалкогольное Бавария Gallagher, 0,45 л, банка",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,"0,45 л",банка,Gallagher,,,0,https://www.bavaria-group.ru,,,new,high,,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,pdf-image p.11 + site NA cards where present,exact,11,,"p.11 Безалкогольное пиво, 0% Алк., pack icons"
BAVARIA-BAVARIYA-NORDISCH-NA-450-CAN,"Пиво безалкогольное Бавария Nordisch Bier, 0,45 л, банка","Пиво безалкогольное Бавария Nordisch Bier, 0,45 л, банка",Бавария,ГК ПД «Бавария»,Безалкогольное пиво,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,"0,45 л",банка,Nordisch Bier,,,0,https://www.bavaria-group.ru,,,new,high,,PDF p.11 «Безалкогольное пиво» + штамп 0% Алк.; фасовка по пиктограммам,pdf-image p.11 + site NA cards where present,exact,11,,"p.11 Безалкогольное пиво, 0% Алк., pack icons"
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-500-GLASS,"Напиток газированный Бавария Premium Груша, 0,5 л, стекло","Напиток газированный Бавария Premium Груша, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: все 7 вкусов показаны в стекле 0,5","0,5 л",стекло,Груша,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-steklo.jpg,new,high,,"PDF p.14: все 7 вкусов показаны в стекле 0,5",pdf-image p.14 glass row,shared-line-image,14,"site Premium assortment стекло 0,5","p.14 glass row + GL 0,5 icon"
BAVARIA-BAVARIYA-PREMIUM-GRANAT-500-GLASS,"Напиток газированный Бавария Premium Гранат, 0,5 л, стекло","Напиток газированный Бавария Premium Гранат, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: все 7 вкусов показаны в стекле 0,5","0,5 л",стекло,Гранат,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-steklo.jpg,new,high,,"PDF p.14: все 7 вкусов показаны в стекле 0,5",pdf-image p.14 glass row,shared-line-image,14,"site Premium assortment стекло 0,5","p.14 glass row + GL 0,5 icon"
BAVARIA-BAVARIYA-PREMIUM-APELSIN-500-GLASS,"Напиток газированный Бавария Premium Апельсин, 0,5 л, стекло","Напиток газированный Бавария Premium Апельсин, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: все 7 вкусов показаны в стекле 0,5","0,5 л",стекло,Апельсин,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-steklo.jpg,new,high,,"PDF p.14: все 7 вкусов показаны в стекле 0,5",pdf-image p.14 glass row,shared-line-image,14,"site Premium assortment стекло 0,5","p.14 glass row + GL 0,5 icon"
