sku,brand,field,value,pdf_name,page_number,evidence_type,confidence,notes,pdf_sha256
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,,non_alcoholic_status,0% алк.,BAVARIA-CATALOG-2026.pdf,11,pdf-image,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,,package,"стекло 0,45 л",BAVARIA-CATALOG-2026.pdf,11,pdf-packaging,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-SVETLOE-450-CAN,,non_alcoholic_status,0% алк.,BAVARIA-CATALOG-2026.pdf,11,pdf-image,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-SVETLOE-450-CAN,,package,"банка 0,45 л",BAVARIA-CATALOG-2026.pdf,11,pdf-packaging,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-ELF-450-GLASS,,non_alcoholic_status,0% алк.,BAVARIA-CATALOG-2026.pdf,11,pdf-image,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-ELF-450-GLASS,,package,"стекло 0,45 л",BAVARIA-CATALOG-2026.pdf,11,pdf-packaging,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-ELF-450-CAN,,non_alcoholic_status,0% алк.,BAVARIA-CATALOG-2026.pdf,11,pdf-image,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-ELF-450-CAN,,package,"банка 0,45 л",BAVARIA-CATALOG-2026.pdf,11,pdf-packaging,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-GALLAGHER-NA-450-GLASS,,non_alcoholic_status,0% алк.,BAVARIA-CATALOG-2026.pdf,11,pdf-image,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-GALLAGHER-NA-450-GLASS,,package,"стекло 0,45 л",BAVARIA-CATALOG-2026.pdf,11,pdf-packaging,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-GALLAGHER-NA-450-CAN,,non_alcoholic_status,0% алк.,BAVARIA-CATALOG-2026.pdf,11,pdf-image,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-GALLAGHER-NA-450-CAN,,package,"банка 0,45 л",BAVARIA-CATALOG-2026.pdf,11,pdf-packaging,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-NORDISCH-NA-450-CAN,,non_alcoholic_status,0% алк.,BAVARIA-CATALOG-2026.pdf,11,pdf-image,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
BAVARIA-BAVARIYA-NORDISCH-NA-450-CAN,,package,"банка 0,45 л",BAVARIA-CATALOG-2026.pdf,11,pdf-packaging,high,,e93756ed45acecb1335e562aa4f9d455899c0b846fb9bb1bc6b3f33af436da93
