sku,source_url,notes
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,https://www.bavaria-group.ru/beer-product/svetloe-bezalkogolnoe,site NA card
BAVARIA-BAVARIYA-SVETLOE-450-CAN,https://www.bavaria-group.ru/beer-product/svetloe-bezalkogolnoe,site NA card
BAVARIA-BAVARIYA-ELF-450-GLASS,https://www.bavaria-group.ru/beer-product/elf-bezalkogolnoe,site NA card
BAVARIA-BAVARIYA-ELF-450-CAN,https://www.bavaria-group.ru/beer-product/elf-bezalkogolnoe,site NA card
BAVARIA-BAVARIYA-GALLAGHER-NA-450-GLASS,https://www.bavaria-group.ru,
BAVARIA-BAVARIYA-GALLAGHER-NA-450-CAN,https://www.bavaria-group.ru,
BAVARIA-BAVARIYA-NORDISCH-NA-450-CAN,https://www.bavaria-group.ru,
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-500-GLASS,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment стекло 0,5"
BAVARIA-BAVARIYA-PREMIUM-GRANAT-500-GLASS,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment стекло 0,5"
BAVARIA-BAVARIYA-PREMIUM-APELSIN-500-GLASS,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment стекло 0,5"
BAVARIA-BAVARIYA-PREMIUM-TARHUN-500-GLASS,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment стекло 0,5"
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-500-GLASS,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment стекло 0,5"
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-500-GLASS,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment стекло 0,5"
BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-500-GLASS,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment стекло 0,5"
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-1200-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment ПЭТ 1,2"
BAVARIA-BAVARIYA-PREMIUM-TARHUN-1200-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment ПЭТ 1,2"
BAVARIA-BAVARIYA-PREMIUM-GRANAT-1200-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment ПЭТ 1,2"
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-1200-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment ПЭТ 1,2"
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-1200-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment ПЭТ 1,2"
BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-1200-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,"site Premium assortment ПЭТ 1,2"
BAVARIA-BAVARIYA-MOHITO-450-GLASS,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-PITAHAYYA-450-GLASS,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-TARHUN-450-GLASS,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-GRUSHA-450-GLASS,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-TARHUN-500-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-GRUSHA-500-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-KOLA-500-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-APELSIN-1500-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-TARHUN-1500-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-GRUSHA-1500-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-PITAHAYYA-1500-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-KOLA-1500-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-MOHITO-1500-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-BAVARIYA-YABLOKO-1500-PET,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,site regular soda assortment text
BAVARIA-LIMNADA-ANANAS-1500-PET,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,site Limnada 1.5 assortment
BAVARIA-LIMNADA-KREM-SODA-1500-PET,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,site Limnada 1.5 assortment
BAVARIA-LIMNADA-DYUSHES-1500-PET,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,site Limnada 1.5 assortment
BAVARIA-LIMNADA-BARBARIS-1500-PET,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,site Limnada 1.5 assortment
BAVARIA-LIMNADA-KREM-SODA-500-PET,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,site Limnada 0.5 assortment
BAVARIA-LIMNADA-DYUSHES-500-PET,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,site Limnada 0.5 assortment
BAVARIA-LIMNADA-BARBARIS-500-PET,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,site Limnada 0.5 assortment
BAVARIA-DREAMIX-KOLA-TSITRUS-330-CAN,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-KOLA-TSITRUS-500-PET,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-KOLA-TSITRUS-1500-PET,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-TAYGA-330-CAN,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-TAYGA-500-PET,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-TAYGA-1500-PET,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-MOHITO-330-CAN,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-MOHITO-500-PET,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-MOHITO-1500-PET,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-KLYUKVA-APELSIN-330-CAN,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-KLYUKVA-APELSIN-500-PET,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-KLYUKVA-APELSIN-1500-PET,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,site Dreamix soda packs without flavor titles
BAVARIA-DREAMIX-BITTER-LEMON-1000-PET,https://www.bavaria-group.ru/beer-product/dreamix,"site Dreamix Toniс PET 1л + стекло 0,33"
BAVARIA-DREAMIX-BITTER-LEMON-330-GLASS,https://www.bavaria-group.ru/beer-product/dreamix,"site Dreamix Toniс PET 1л + стекло 0,33"
BAVARIA-DREAMIX-BITTER-LEMON-330-CAN,https://www.bavaria-group.ru/beer-product/dreamix,
BAVARIA-DREAMIX-INDIAN-TONIK-1000-PET,https://www.bavaria-group.ru/beer-product/dreamix,"site Dreamix Toniс PET 1л + стекло 0,33"
BAVARIA-DREAMIX-INDIAN-TONIK-330-GLASS,https://www.bavaria-group.ru/beer-product/dreamix,"site Dreamix Toniс PET 1л + стекло 0,33"
BAVARIA-DREAMIX-INDIAN-TONIK-330-CAN,https://www.bavaria-group.ru/beer-product/dreamix,
BAVARIA-ROCKET-RIDE-CLASSIC-450-CAN,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,site flavors without packs
BAVARIA-ROCKET-RIDE-CLASSIC-500-PET,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,site flavors without packs
BAVARIA-ROCKET-RIDE-MANGO-APRICOT-450-CAN,https://www.bavaria-group.ru/beer-product/vitaminnyj-napitok-rocket-ride,site flavors without packs
