sku,name,category,category_slug,brand,taste,volume,package,current_image_status,prod_image_url,missing_reason,manifest_image_url,manifest_local_image_path,image_match,pdf_page,source_url,possible_official_source,imaged_sibling_skus,candidate_image_urls,candidate_source_priority,match_confidence,review_status,notes,downloaded_source_paths,local_processed_path,processed_source
BAVARIA-BAVARIYA-ELF-450-CAN,"Пиво безалкогольное Бавария Elf, 0,45 л, банка",Безалкогольное пиво,non-alcoholic-beer,Бавария,Elf,"0,45 л",банка,missing,,exact_match_claimed_but_image_url_empty,,,exact,11,https://www.bavaria-group.ru/beer-product/elf-bezalkogolnoe,https://www.bavaria-group.ru/beer-product/elf-bezalkogolnoe,BAVARIA-BAVARIYA-ELF-450-GLASS,https://www.bavaria-group.ru/files/beer_items/55_1740991309.jpg,official_site,medium,confirmed_ready,Site shows glass; prefer PDF p.11 can crop for unique pack. Glass asset only interim. | Final crop from pdf_page_11 (pdf_box) | Final crop from pdf_page_11 (pdf_box) | Final crop from pdf_page_11 (pdf_box),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/55_1740991309.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-ELF-450-CAN.webp,pdf_page_11
BAVARIA-BAVARIYA-GALLAGHER-NA-450-CAN,"Пиво безалкогольное Бавария Gallagher, 0,45 л, банка",Безалкогольное пиво,non-alcoholic-beer,Бавария,Gallagher,"0,45 л",банка,missing,,exact_match_claimed_but_image_url_empty,,,exact,11,https://www.bavaria-group.ru,https://www.bavaria-group.ru,,,official_pdf,medium,confirmed_ready,PDF p.11 under 0% NA stamp — not alcoholic site art (103_/140_ forbidden).,,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-GALLAGHER-NA-450-CAN.webp,pdf_page_11
BAVARIA-BAVARIYA-GALLAGHER-NA-450-GLASS,"Пиво безалкогольное Бавария Gallagher, 0,45 л, стекло",Безалкогольное пиво,non-alcoholic-beer,Бавария,Gallagher,"0,45 л",стекло,missing,,exact_match_claimed_but_image_url_empty,,,exact,11,https://www.bavaria-group.ru,https://www.bavaria-group.ru,,,official_pdf,medium,confirmed_ready,PDF p.11 under 0% NA stamp — not alcoholic site art (103_/140_ forbidden).,,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-GALLAGHER-NA-450-GLASS.webp,pdf_page_11
BAVARIA-BAVARIYA-GRUSHA-450-GLASS,"Напиток газированный Бавария Груша, 0,45 л, стекло",Газированные напитки,gazirovannye-napitki,Бавария,Груша,"0,45 л",стекло,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,15,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,BAVARIA-BAVARIYA-GRUSHA-1500-PET|BAVARIA-BAVARIYA-GRUSHA-500-PET,,official_pdf,medium,confirmed_ready,PDF p.15 glass Груша. | Final crop from pdf_page_15 (pdf_box) | Final crop from pdf_page_15 (pdf_box) | Final crop from pdf_page_15 (pdf_box),,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-GRUSHA-450-GLASS.webp,pdf_page_15
BAVARIA-BAVARIYA-KOLA-1500-PET,"Напиток газированный Бавария Кола, 1,5 л, ПЭТ",Газированные напитки,gazirovannye-napitki,Бавария,Кола,"1,5 л",ПЭТ,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,15,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,official_site,high,confirmed_ready,Crop Кола from official 1.5 PET lineup. | Final crop from official_site (site_equal) | Final crop from official_site (site_equal) | Final crop from official_site (site_equal),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/95_1730364037.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-KOLA-1500-PET.webp,official_site
BAVARIA-BAVARIYA-KOLA-500-PET,"Напиток газированный Бавария Кола, 0,5 л, ПЭТ",Газированные напитки,gazirovannye-napitki,Бавария,Кола,"0,5 л",ПЭТ,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,15,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,official_site,high,confirmed_ready,Crop Кола from official 0.5 PET lineup. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/97_1730364236.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-KOLA-500-PET.webp,official_site
BAVARIA-BAVARIYA-MOHITO-450-GLASS,"Напиток газированный Бавария Мохито, 0,45 л, стекло",Газированные напитки,gazirovannye-napitki,Бавария,Мохито,"0,45 л",стекло,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,15,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,BAVARIA-BAVARIYA-MOHITO-1500-PET,,official_pdf,medium,confirmed_ready,PDF p.15 glass Мохито. | Final crop from pdf_page_15 (pdf_box) | Final crop from pdf_page_15 (pdf_box) | Final crop from pdf_page_15 (pdf_box),,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-MOHITO-450-GLASS.webp,pdf_page_15
BAVARIA-BAVARIYA-NORDISCH-NA-450-CAN,"Пиво безалкогольное Бавария Nordisch Bier, 0,45 л, банка",Безалкогольное пиво,non-alcoholic-beer,Бавария,Nordisch Bier,"0,45 л",банка,missing,,exact_match_claimed_but_image_url_empty,,,exact,11,https://www.bavaria-group.ru,https://www.bavaria-group.ru,,,official_pdf,low,excluded,PDF shows bottle; icon CAN-only — no unique can packshot; alcoholic site art forbidden,,,
BAVARIA-BAVARIYA-PITAHAYYA-450-GLASS,"Напиток газированный Бавария Питахайя, 0,45 л, стекло",Газированные напитки,gazirovannye-napitki,Бавария,Питахайя,"0,45 л",стекло,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,15,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,BAVARIA-BAVARIYA-PITAHAYYA-1500-PET,,official_pdf,medium,confirmed_ready,PDF p.15 glass Питахайя. | Final crop from pdf_page_15 (pdf_box) | Final crop from pdf_page_15 (pdf_box) | Final crop from pdf_page_15 (pdf_box),,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-PITAHAYYA-450-GLASS.webp,pdf_page_15
BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-1200-PET,"Напиток газированный Бавария Premium Виноград, 1,2 л, ПЭТ",Газированные напитки,gazirovannye-napitki,Бавария,Виноград,"1,2 л",ПЭТ,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,14,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,,,official_pdf,high,confirmed_ready,Виноград absent from site PET group; PDF p.14. | Final crop from pdf_page_14 (pdf_box) | Final crop from pdf_page_14 (pdf_box) | Final crop from pdf_page_14 (pdf_box),,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-1200-PET.webp,pdf_page_14
