sku,brand,flavor,description
ZY-ADRENALINE-250-CAN-001,Adrenaline Rush,Абсолютная энергия,Adrenaline Rush Абсолютная энергия — безалкогольный энергетический напиток в жестяной банке.
ZY-ADRENALINE-449-CAN-001,Adrenaline Rush,Абсолютная энергия,"Adrenaline Rush Абсолютная энергия — безалкогольный энергетический напиток в жестяной банке, объёмом 0,449 л."
DRINK-COCACOLA-330-CAN-251,Coca-Cola,Original Taste,Coca-Cola Original Taste — классический сильногазированный безалкогольный напиток с насыщенным вкусом в жестяной банке. Подходит для употребления в охлаждённом виде.
DRINK-COCACOLA-330-GLASS-105,Coca-Cola,Original Taste,Coca-Cola Original Taste — классический сильногазированный безалкогольный напиток с насыщенным вкусом в стеклянной бутылке. Подходит для употребления в охлаждённом виде.
DRINK-COCACOLA-330-CAN-379,Coca-Cola,Zero без кофеина,Coca-Cola Zero без кофеина — безалкогольный сильногазированный напиток без сахара и без кофеина в жестяной банке. Подходит для употребления в охлаждённом виде.
DRINK-COCACOLA-330-CAN-309,Coca-Cola,Zero,Coca-Cola Zero — безалкогольный сильногазированный напиток без сахара в жестяной банке. Подходит для употребления в охлаждённом виде.
ZY-COCACOLAZERO-330-GLASS-001,Coca-Cola,Zero,Coca-Cola Zero — безалкогольный сильногазированный напиток без сахара в стеклянной бутылке. Подходит для употребления в охлаждённом виде.
DRINK-SPRITE-330-CAN-135,Sprite,лимон и лайм,Sprite — сильногазированный безалкогольный напиток со вкусом лимона и лайма в жестяной банке.
ZY-SPRITE-2000-PET-001,Sprite,лимон и лайм,Sprite — сильногазированный безалкогольный напиток со вкусом лимона и лайма в ПЭТ-бутылке.
ZY-BORZHOMI-330-GLASS-001,Боржоми,,Минеральная вода Borjomi природной минерализации в стеклянной бутылке. Рекомендуется употреблять охлаждённой.
ZY-BORZHOMI-500-GLASS-001,Боржоми,,"Минеральная вода Borjomi природной минерализации в стеклянной бутылке. Рекомендуется употреблять охлаждённой, объёмом 500 мл."
ZY-VIKO-1000-CARTON-012,Вико,абрикос,Вико абрикос — фруктовый нектар объёмом 1 литр.
ZY-VIKO-1000-CARTON-013,Вико,банановый,Вико банановый — фруктовый нектар объёмом 1 литр.
ZY-VIKO-1000-CARTON-002,Вико,ананасовый,Вико ананасовый — восстановленный фруктовый сок объёмом 1 литр.
ZY-VIKO-1000-CARTON-009,Вико,Апельсин манго,Вико Апельсин манго — восстановленный фруктовый сок объёмом 1 литр.
ZY-VIKO-1000-CARTON-001,Вико,апельсиновый,Вико апельсиновый — восстановленный фруктовый сок объёмом 1 литр.
ZY-VIKO-1000-CARTON-008,Вико,виноградно яблочный,Вико виноградно яблочный — восстановленный фруктовый сок объёмом 1 литр.
ZY-VIKO-1000-CARTON-010,Вико,виноградный черный,Вико виноградный черный — восстановленный фруктовый сок объёмом 1 литр.
ZY-VIKO-1000-CARTON-003,Вико,вишневый,Вико вишневый — восстановленный фруктовый сок объёмом 1 литр.
ZY-VIKO-1000-CARTON-006,Вико,Гранатовый,Вико Гранатовый — восстановленный фруктовый сок объёмом 1 литр.
ZY-VIKO-1000-CARTON-005,Вико,зеленое яблоко,Вико зеленое яблоко — восстановленный фруктовый сок объёмом 1 литр.
ZY-VIKO-1000-CARTON-004,Вико,Мультифрукт,Вико Мультифрукт — восстановленный фруктовый сок объёмом 1 литр.
ZY-VIKO-1000-CARTON-007,Вико,персиковый,Вико персиковый — восстановленный фруктовый сок объёмом 1 литр.
ZY-VIKO-1000-CARTON-011,Вико,томатный,Вико томатный — восстановленный фруктовый сок объёмом 1 литр.
BAVARIA-COLALE-COLA-LE-450-GLASS,Cola Limited Edition,Cola Limited Edition,Cola Limited Edition — сильногазированный безалкогольный напиток в стеклянной бутылке.
BAVARIA-DREAMIX-BITTER-LEMON-330-GLASS,Dreamix,Bitter Lemon,Dreamix Bitter Lemon — безалкогольный тоник в стеклянной бутылке.
BAVARIA-DREAMIX-INDIAN-TONIK-330-GLASS,Dreamix,Indian Tonic,Dreamix Indian Tonic — безалкогольный тоник в стеклянной бутылке.
BAVARIA-KAZBEK-AQUA-ZAGOLOVOK-PRODUKTA-330-GLASS,Kazbek-Aqua,Kazbek-Aqua,Минеральная вода Kazbek-Aqua в стеклянной бутылке. Рекомендуется употреблять охлаждённой.
BAVARIA-SWIPE-SWIPE-330-GLASS,SWIPE,SWIPE,SWIPE — сильногазированный безалкогольный напиток в стеклянной бутылке.
