sku,name,brand,category,volume_text,package_type,description,sales_status,active_flag,price_amount
AQUALANIA-PREMIUM-BARBARIS-500-GLASS,"AquAlania Барбарис, 0,5 л, стекло",AquAlania,Лимонады,"0,5 л",стекло,"Производитель: ООО «Константа-7»
Бренд: AquAlania
Вкус: Барбарис
Линейка: PREMIUM
Источник (сайт): https://aqualania.ru/product
Импорт: AquAlania official site (showcase, без цены, заказ недоступен)",showcase,active,""
AQUALANIA-PREMIUM-DYNYA-MYATA-500-GLASS,"AquAlania Дыня-Мята, 0,5 л, стекло",AquAlania,Лимонады,"0,5 л",стекло,"Производитель: ООО «Константа-7»
Бренд: AquAlania
Вкус: Дыня-Мята
Линейка: PREMIUM
Источник (сайт): https://aqualania.ru/product
Импорт: AquAlania official site (showcase, без цены, заказ недоступен)",showcase,active,""
AQUALANIA-PREMIUM-FEYHOA-500-GLASS,"AquAlania Фейхоа, 0,5 л, стекло",AquAlania,Лимонады,"0,5 л",стекло,"Производитель: ООО «Константа-7»
Бренд: AquAlania
Вкус: Фейхоа
Линейка: PREMIUM
Источник (сайт): https://aqualania.ru/product
Импорт: AquAlania official site (showcase, без цены, заказ недоступен)",showcase,active,""
AQUALANIA-PREMIUM-GRUSHA-500-GLASS,"AquAlania Груша, 0,5 л, стекло",AquAlania,Лимонады,"0,5 л",стекло,"Производитель: ООО «Константа-7»
Бренд: AquAlania
Вкус: Груша
Линейка: PREMIUM
Источник (сайт): https://aqualania.ru/product
Импорт: AquAlania official site (showcase, без цены, заказ недоступен)",showcase,active,""
AQUALANIA-PREMIUM-IGRISTOE-500-GLASS,"Напиток газированный AquAlania Игристое, 0,5 л, стекло",AquAlania,Лимонады,"0,5 л",стекло,"Производитель: ООО «Константа-7»
Бренд: AquAlania
Вкус: Игристое
Линейка: PREMIUM
Источник (сайт): https://aqualania.ru/product
Импорт: AquAlania official site (showcase, без цены, заказ недоступен)",showcase,active,""
AQUALANIA-PREMIUM-KOLA-500-GLASS,"AquAlania Кола, 0,5 л, стекло",AquAlania,Кола,"0,5 л",стекло,"Производитель: ООО «Константа-7»
Бренд: AquAlania
Вкус: Кола
Линейка: PREMIUM
Источник (сайт): https://aqualania.ru/product
Импорт: AquAlania official site (showcase, без цены, заказ недоступен)",showcase,active,""
AQUALANIA-PREMIUM-LIMONAD-500-GLASS,"AquAlania Лимонад, 0,5 л, стекло",AquAlania,Лимонады,"0,5 л",стекло,"Производитель: ООО «Константа-7»
Бренд: AquAlania
Вкус: Лимонад
Линейка: PREMIUM
Источник (сайт): https://aqualania.ru/product
Импорт: AquAlania official site (showcase, без цены, заказ недоступен)",showcase,active,""
AQUALANIA-PREMIUM-MANGO-VINOGRAD-500-GLASS,"AquAlania Манго-Виноград, 0,5 л, стекло",AquAlania,Лимонады,"0,5 л",стекло,"Производитель: ООО «Константа-7»
Бренд: AquAlania
Вкус: Манго-Виноград
Линейка: PREMIUM
Источник (сайт): https://aqualania.ru/product
Импорт: AquAlania official site (showcase, без цены, заказ недоступен)",showcase,active,""
AQUALANIA-PREMIUM-SAPERAVI-500-GLASS,"AquAlania Саперави, 0,5 л, стекло",AquAlania,Лимонады,"0,5 л",стекло,"Производитель: ООО «Константа-7»
Бренд: AquAlania
Вкус: Саперави
Линейка: PREMIUM
Источник (сайт): https://aqualania.ru/product
Импорт: AquAlania official site (showcase, без цены, заказ недоступен)",showcase,active,""
AQUALANIA-PREMIUM-SLIVA-500-GLASS,"AquAlania Слива, 0,5 л, стекло",AquAlania,Лимонады,"0,5 л",стекло,"Производитель: ООО «Константа-7»
Бренд: AquAlania
Вкус: Слива
Линейка: PREMIUM
Источник (сайт): https://aqualania.ru/product
Импорт: AquAlania official site (showcase, без цены, заказ недоступен)",showcase,active,""
