proposed_sku,proposed_name,brand,category,category_slug,volume,package,taste,carbonation,source_url,confidence,import_status,duplicate_status,notes
DARYAL-DARYAL-KOLA-APELSIN-500-GLASS,"Дарьял Кола-апельсин газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Кола-апельсин,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-APELSIN-KORIANDR-500-GLASS,"Дарьял Апельсин-кориандр газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Апельсин-кориандр,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-TARHUN-500-GLASS,"Дарьял Тархун газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Тархун,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-GRUSHA-500-GLASS,"Дарьял Груша газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Груша,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-FEYHOA-SHELKOVITSA-500-GLASS,"Дарьял Фейхоа-Шелковица газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Фейхоа-Шелковица,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-MOHITO-500-GLASS,"Дарьял Мохито газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Мохито,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-GRANAT-500-GLASS,"Дарьял Гранат газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Гранат,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-KOLA-APELSIN-500-PET,"Дарьял Кола-апельсин газированная, 0,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",ПЭТ,Кола-апельсин,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-APELSIN-500-PET,"Дарьял Апельсин газированная, 0,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",ПЭТ,Апельсин,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-TARHUN-500-PET,"Дарьял Тархун газированная, 0,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",ПЭТ,Тархун,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-GRUSHA-500-PET,"Дарьял Груша газированная, 0,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",ПЭТ,Груша,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-MOHITO-500-PET,"Дарьял Мохито газированная, 0,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",ПЭТ,Мохито,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-KOLA-APELSIN-1500-PET,"Дарьял Кола-апельсин газированная, 1,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"1,5 л",ПЭТ,Кола-апельсин,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-APELSIN-1500-PET,"Дарьял Апельсин газированная, 1,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"1,5 л",ПЭТ,Апельсин,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-TARHUN-1500-PET,"Дарьял Тархун газированная, 1,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"1,5 л",ПЭТ,Тархун,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
DARYAL-DARYAL-GRUSHA-1500-PET,"Дарьял Груша газированная, 1,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"1,5 л",ПЭТ,Груша,газированная,https://darialgroup.ru/sparkling/,high,proposed,new,
