name,source_url,evidence
Дарьял «Жигулевское»,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Дарьял «Оригинальное»,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Дарьял «Традиционное»,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Дарьял Жигулевское,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Дарьял Оригинальное,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Дарьял Традиционное,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Пиво Дарьял Баварское,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Пиво Дарьял Жигулевское,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Пиво Дарьял Немецкое,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Пиво Дарьял Оригинальное,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Пиво Дарьял Традиционное,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Пиво Дарьял Царская корона,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
Пиво Дарьял Чешское,https://darialgroup.ru/beer/,"Страница /beer/ — алкогольная продукция, вне scope импорта"
