proposed_sku,proposed_name,brand,category,category_slug,volume,package,taste,carbonation,source_url,image_path,sales_status,price_amount,orderable,confidence
DARYAL-DARYAL-KOLA-APELSIN-500-GLASS,"Дарьял Кола-апельсин газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Кола-апельсин,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-KOLA-APELSIN-500-GLASS.webp,showcase,,false,high
DARYAL-DARYAL-APELSIN-KORIANDR-500-GLASS,"Дарьял Апельсин-кориандр газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Апельсин-кориандр,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-APELSIN-KORIANDR-500-GLASS.webp,showcase,,false,high
DARYAL-DARYAL-TARHUN-500-GLASS,"Дарьял Тархун газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Тархун,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-TARHUN-500-GLASS.webp,showcase,,false,high
DARYAL-DARYAL-GRUSHA-500-GLASS,"Дарьял Груша газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Груша,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-GRUSHA-500-GLASS.webp,showcase,,false,high
DARYAL-DARYAL-FEYHOA-SHELKOVITSA-500-GLASS,"Дарьял Фейхоа-Шелковица газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Фейхоа-Шелковица,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-FEYHOA-SHELKOVITSA-500-GLASS.webp,showcase,,false,high
DARYAL-DARYAL-MOHITO-500-GLASS,"Дарьял Мохито газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Мохито,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-MOHITO-500-GLASS.webp,showcase,,false,high
DARYAL-DARYAL-GRANAT-500-GLASS,"Дарьял Гранат газированная, 0,5 л, стекло",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",стекло,Гранат,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-GRANAT-500-GLASS.webp,showcase,,false,high
DARYAL-DARYAL-KOLA-APELSIN-500-PET,"Дарьял Кола-апельсин газированная, 0,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",ПЭТ,Кола-апельсин,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-KOLA-APELSIN-500-PET.webp,showcase,,false,high
DARYAL-DARYAL-APELSIN-500-PET,"Дарьял Апельсин газированная, 0,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",ПЭТ,Апельсин,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-APELSIN-500-PET.webp,showcase,,false,high
DARYAL-DARYAL-TARHUN-500-PET,"Дарьял Тархун газированная, 0,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",ПЭТ,Тархун,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-TARHUN-500-PET.webp,showcase,,false,high
DARYAL-DARYAL-GRUSHA-500-PET,"Дарьял Груша газированная, 0,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",ПЭТ,Груша,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-GRUSHA-500-PET.webp,showcase,,false,high
DARYAL-DARYAL-MOHITO-500-PET,"Дарьял Мохито газированная, 0,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"0,5 л",ПЭТ,Мохито,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-MOHITO-500-PET.webp,showcase,,false,high
DARYAL-DARYAL-KOLA-APELSIN-1500-PET,"Дарьял Кола-апельсин газированная, 1,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"1,5 л",ПЭТ,Кола-апельсин,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-KOLA-APELSIN-1500-PET.webp,showcase,,false,high
DARYAL-DARYAL-APELSIN-1500-PET,"Дарьял Апельсин газированная, 1,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"1,5 л",ПЭТ,Апельсин,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-APELSIN-1500-PET.webp,showcase,,false,high
DARYAL-DARYAL-TARHUN-1500-PET,"Дарьял Тархун газированная, 1,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"1,5 л",ПЭТ,Тархун,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-TARHUN-1500-PET.webp,showcase,,false,high
DARYAL-DARYAL-GRUSHA-1500-PET,"Дарьял Груша газированная, 1,5 л, ПЭТ",Дарьял,Газированные напитки,gazirovannye-napitki,"1,5 л",ПЭТ,Груша,газированная,https://darialgroup.ru/sparkling/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-DARYAL-GRUSHA-1500-PET.webp,showcase,,false,high
DARYAL-AKVA-DARYAL-STILL-500-GLASS,"Аква Дарьял негазированная, 0,5 л, стекло",Аква Дарьял,Минеральная вода,voda-mineralnaya,"0,5 л",стекло,,негазированная,https://darialgroup.ru/water/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-AKVA-DARYAL-STILL-500-GLASS.webp,showcase,,false,high
DARYAL-AKVA-DARYAL-STILL-500-PET,"Аква Дарьял негазированная, 0,5 л, ПЭТ",Аква Дарьял,Минеральная вода,voda-mineralnaya,"0,5 л",ПЭТ,,негазированная,https://darialgroup.ru/water/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-AKVA-DARYAL-STILL-500-PET.webp,showcase,,false,high
DARYAL-AKVA-DARYAL-STILL-1500-PET,"Аква Дарьял негазированная, 1,5 л, ПЭТ",Аква Дарьял,Минеральная вода,voda-mineralnaya,"1,5 л",ПЭТ,,негазированная,https://darialgroup.ru/water/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-AKVA-DARYAL-STILL-1500-PET.webp,showcase,,false,high
DARYAL-AKVA-DARYAL-GAZ-500-GLASS,"Аква Дарьял газированная, 0,5 л, стекло",Аква Дарьял,Минеральная вода,voda-mineralnaya,"0,5 л",стекло,,газированная,https://darialgroup.ru/water/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-AKVA-DARYAL-GAZ-500-GLASS.webp,showcase,,false,high
DARYAL-AKVA-DARYAL-GAZ-500-PET,"Аква Дарьял газированная, 0,5 л, ПЭТ",Аква Дарьял,Минеральная вода,voda-mineralnaya,"0,5 л",ПЭТ,,газированная,https://darialgroup.ru/water/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-AKVA-DARYAL-GAZ-500-PET.webp,showcase,,false,high
DARYAL-AKVA-DARYAL-GAZ-1500-PET,"Аква Дарьял газированная, 1,5 л, ПЭТ",Аква Дарьял,Минеральная вода,voda-mineralnaya,"1,5 л",ПЭТ,,газированная,https://darialgroup.ru/water/,artifacts/daryal-import/2026-08-05T07-27-26-082Z-stage2/processed/DARYAL-AKVA-DARYAL-GAZ-1500-PET.webp,showcase,,false,high
