sku,source,source_url,index,taste,volume,package,confidence,note
DARYAL-DARYAL-KOLA-APELSIN-500-GLASS,sparkling-products-glass_1.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-glass_1.png,0,Кола-апельсин,"0,5 л",стекло,high,Crop from official glass lineup; volume/package from /sparkling/ text СТЕКЛО 0.5 Л
DARYAL-DARYAL-APELSIN-KORIANDR-500-GLASS,sparkling-products-glass_1.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-glass_1.png,1,Апельсин-кориандр,"0,5 л",стекло,high,Crop from official glass lineup; volume/package from /sparkling/ text СТЕКЛО 0.5 Л
DARYAL-DARYAL-TARHUN-500-GLASS,sparkling-products-glass_1.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-glass_1.png,2,Тархун,"0,5 л",стекло,high,Crop from official glass lineup; volume/package from /sparkling/ text СТЕКЛО 0.5 Л
DARYAL-DARYAL-GRUSHA-500-GLASS,sparkling-products-glass_1.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-glass_1.png,3,Груша,"0,5 л",стекло,high,Crop from official glass lineup; volume/package from /sparkling/ text СТЕКЛО 0.5 Л
DARYAL-DARYAL-FEYHOA-SHELKOVITSA-500-GLASS,sparkling-products-glass_1.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-glass_1.png,4,Фейхоа-Шелковица,"0,5 л",стекло,high,Crop from official glass lineup; volume/package from /sparkling/ text СТЕКЛО 0.5 Л
DARYAL-DARYAL-GRANAT-500-GLASS,sparkling-products-glass_1.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-glass_1.png,5,Гранат,"0,5 л",стекло,high,Crop from official glass lineup; volume/package from /sparkling/ text СТЕКЛО 0.5 Л
DARYAL-DARYAL-MOHITO-500-GLASS,sparkling-products-glass_1.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-glass_1.png,6,Мохито,"0,5 л",стекло,high,Crop from official glass lineup; volume/package from /sparkling/ text СТЕКЛО 0.5 Л
DARYAL-DARYAL-KOLA-APELSIN-1500-PET,sparkling-products-pet.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-pet.png,0,Кола-апельсин,"1,5 л",ПЭТ,high,Crop from official PET lineup; size from relative bottle height + /sparkling/ PET matrix
DARYAL-DARYAL-KOLA-APELSIN-500-PET,sparkling-products-pet.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-pet.png,1,Кола-апельсин,"0,5 л",ПЭТ,high,Crop from official PET lineup; size from relative bottle height + /sparkling/ PET matrix
DARYAL-DARYAL-APELSIN-1500-PET,sparkling-products-pet.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-pet.png,2,Апельсин,"1,5 л",ПЭТ,high,Crop from official PET lineup; size from relative bottle height + /sparkling/ PET matrix
DARYAL-DARYAL-APELSIN-500-PET,sparkling-products-pet.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-pet.png,3,Апельсин,"0,5 л",ПЭТ,high,Crop from official PET lineup; size from relative bottle height + /sparkling/ PET matrix
DARYAL-DARYAL-TARHUN-1500-PET,sparkling-products-pet.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-pet.png,4,Тархун,"1,5 л",ПЭТ,high,Crop from official PET lineup; size from relative bottle height + /sparkling/ PET matrix
DARYAL-DARYAL-TARHUN-500-PET,sparkling-products-pet.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-pet.png,5,Тархун,"0,5 л",ПЭТ,high,Crop from official PET lineup; size from relative bottle height + /sparkling/ PET matrix
DARYAL-DARYAL-GRUSHA-1500-PET,sparkling-products-pet.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-pet.png,6,Груша,"1,5 л",ПЭТ,high,Crop from official PET lineup; size from relative bottle height + /sparkling/ PET matrix
DARYAL-DARYAL-GRUSHA-500-PET,sparkling-products-pet.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-pet.png,7,Груша,"0,5 л",ПЭТ,high,Crop from official PET lineup; size from relative bottle height + /sparkling/ PET matrix
DARYAL-DARYAL-MOHITO-500-PET,sparkling-products-pet.png,https://darialgroup.ru/local/templates/sm/images/sparkling/sparkling-products-pet.png,8,Мохито,"0,5 л",ПЭТ,high,Crop from official PET lineup; size from relative bottle height + /sparkling/ PET matrix
DARYAL-AKVA-DARYAL-STILL-500-PET,water-still.png,https://darialgroup.ru/upload/iblock/8f4/n00jgc2ona8jrquu4w7akzu1wt69kmic.png,0,,"0,5 л",ПЭТ,high,Crop from official Aqua Darial негазированная packshot; packs listed on /water/
DARYAL-AKVA-DARYAL-STILL-1500-PET,water-still.png,https://darialgroup.ru/upload/iblock/8f4/n00jgc2ona8jrquu4w7akzu1wt69kmic.png,1,,"1,5 л",ПЭТ,high,Crop from official Aqua Darial негазированная packshot; packs listed on /water/
DARYAL-AKVA-DARYAL-STILL-500-GLASS,water-still.png,https://darialgroup.ru/upload/iblock/8f4/n00jgc2ona8jrquu4w7akzu1wt69kmic.png,2,,"0,5 л",стекло,high,Crop from official Aqua Darial негазированная packshot; packs listed on /water/
DARYAL-AKVA-DARYAL-GAZ-500-PET,water-gaz.png,https://darialgroup.ru/upload/iblock/bf7/xo9dzpvdbr2h2jcvredlzqz30wxj15oa.png,0,,"0,5 л",ПЭТ,high,Crop from official Aqua Darial газированная packshot; packs listed on /water/
DARYAL-AKVA-DARYAL-GAZ-1500-PET,water-gaz.png,https://darialgroup.ru/upload/iblock/bf7/xo9dzpvdbr2h2jcvredlzqz30wxj15oa.png,1,,"1,5 л",ПЭТ,high,Crop from official Aqua Darial газированная packshot; packs listed on /water/
DARYAL-AKVA-DARYAL-GAZ-500-GLASS,water-gaz.png,https://darialgroup.ru/upload/iblock/bf7/xo9dzpvdbr2h2jcvredlzqz30wxj15oa.png,2,,"0,5 л",стекло,high,Crop from official Aqua Darial газированная packshot; packs listed on /water/
