proposed_sku,official_name,proposed_name,brand,manufacturer,line,flavor,flavor_key,volume_ml,volume_text,package_type,package_code,carbonation,category,category_slug,category_id,category_status,source_url,source_image_url,image_path,image_match_status,image_width,image_height,image_mime,source_image_sha256,processed_sha256,duplicate_status,confidence,review_status,review_reason,volume_confidence,notes,wp_slug,sales_status,price_amount,orderable,availability,units_per_package
IRIB-CHEGERI-NEGAZIROVANNAYA-500-PET,«Чегери» — родниковая вода,"Чегери Негазированная, 500 мл, ПЭТ",Чегери,ООО «ИРИБ»,CHEGERI,Негазированная,NEGAZIROVANNAYA,500,500 мл,ПЭТ,PET,негазированная,Питьевая вода,voda-pitevaya,58b17c1b-ce93-47d6-9e9d-df407b076889,mapped,https://irib.su/product/rodnikovaya-svezhest-3/,https://irib.su/wp-content/uploads/2023/07/chegeri-bottle-1.webp,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-CHEGERI-NEGAZIROVANNAYA-500-PET.webp,exact_low_res,117,380,image/webp,3f0095dde0a7df0d54b6ef76be5b23044ba4ccf91485209e7de4b7182b096647,afefdfb57cc2eff86e13396ebdfa27700c2df2710333576af734f24518c6dec1,new_product,medium,approved,,high,,rodnikovaya-svezhest-3,showcase,,false,on_order,1
IRIB-GOLD-GRAND-ANANAS-600-PET,Ананас,"GOLD GRAND Ананас, 600 мл, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Ананас,ANANAS,600,600 мл,ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/ananas-0-6l/,https://irib.su/wp-content/uploads/2021/04/ananas-366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-GOLD-GRAND-ANANAS-600-PET.webp,exact_low_res,113,366,image/png,b2c7ee8cf6362a0ccc6e69ada432a6303a0f0b4ddf431a19ecbf445f5e9088fb,84fc41a8e214aa3575191106b4e458c5edf9515f93419caebc82804de53fb226,new_product,medium,approved,,high,,ananas-0-6l,showcase,,false,on_order,1
IRIB-GOLD-GRAND-MOHITO-NEGAZIROVANNYY-600-PET,Мохито негазированный,"GOLD GRAND Мохито негазированный, 600 мл, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Мохито негазированный,MOHITO-NEGAZIROVANNYY,600,600 мл,ПЭТ,PET,негазированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/mohito-0-6l-negazirovannyj/,https://irib.su/wp-content/uploads/2021/04/mohito-bez-gaza-366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-GOLD-GRAND-MOHITO-NEGAZIROVANNYY-600-PET.webp,exact_low_res,113,366,image/png,0cb197190f851a280e3416c55452e77f6d9db2eefbef9fd44a54ceb586db8485,6c5f16075394a7588680cec902f36bce98205a24e217e2539f6f0413ee2a2ae0,new_product,medium,approved,,high,,mohito-0-6l-negazirovannyj,showcase,,false,on_order,1
IRIB-GOLD-GRAND-MULTIFRUKT-600-PET,Мультифрукт,"GOLD GRAND Мультифрукт, 600 мл, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Мультифрукт,MULTIFRUKT,600,600 мл,ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/multifrukt-0-6l/,https://irib.su/wp-content/uploads/2021/04/multi-366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-GOLD-GRAND-MULTIFRUKT-600-PET.webp,exact_low_res,113,366,image/png,41367db4b63147975e447919e7b4053b4986af88dff6dbf00674d97fdeee632b,0c3fcba9c33cec21740090028abaaeeeb1385b6438f5cabc7f95d26968997e96,new_product,medium,approved,,high,,multifrukt-0-6l,showcase,,false,on_order,1
IRIB-GOLD-GRAND-TARHUN-600-PET,Тархун,"GOLD GRAND Тархун, 600 мл, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Тархун,TARHUN,600,600 мл,ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/tarhun-3/,https://irib.su/wp-content/uploads/2021/04/tarhun-366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-GOLD-GRAND-TARHUN-600-PET.webp,exact_low_res,113,366,image/png,7c2b1b848c743120686afd26b03137064f5f9ba6893f36f8876f798853d065cb,5d4b8842fbcb1ce7ba094beda625c12950c56ff9842817257a0ae98966b4e815,new_product,medium,approved,,high,,tarhun-3,showcase,,false,on_order,1
IRIB-ICE-BAR-PERSIK-500-PET,Ice Bar Персик,"Ice Bar Персик, 500 мл, ПЭТ",Ice Bar,ООО «ИРИБ»,ICE-BAR,Персик,PERSIK,500,500 мл,ПЭТ,PET,,Холодный чай,kholodnyy-chay,88192b93-0ce7-4b67-b6a5-9cb208a17bbb,mapped,https://irib.su/product/ice-bar-persik/,https://irib.su/wp-content/uploads/2020/07/holodny-chai-persik-500-PhotoRoom-2.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-ICE-BAR-PERSIK-500-PET.webp,exact_low_res,99,366,image/png,ce11918121e36c681ad18832471b9ef6b74221e6fcf41e6428105f506fa55df9,eef210a171a3c91cd67bf02f1170f384f18f202e45e3ba1e1b957973f440a82a,new_product,medium,approved,,high,,ice-bar-persik,showcase,,false,on_order,1
IRIB-KVAS-YANTARNYY-1250-PET,Янтарный квас,"Квас Ириб Янтарный, 1,25 л, ПЭТ",Ириб,ООО «ИРИБ»,KVAS,Янтарный,YANTARNYY,1250,"1,25 л",ПЭТ,PET,,Квас,kvas,e1f3f5b4-7b79-4652-8989-82d30cff34a1,mapped,https://irib.su/product/kvas/,https://irib.su/wp-content/uploads/2020/04/kvas-yantarnyi-125-PhotoRoom-2.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-KVAS-YANTARNYY-1250-PET.webp,exact_low_res,105,366,image/png,6d56be88321fd66f0505d72fc459a721f85b8f369d07ae09f04f73374155aa1f,1e2e982d7ebb3e01b72f53058f3c07d7931e4e68f9bad8bce5bb8ec14af531ea,new_product,medium,approved,,high,,kvas,showcase,,false,on_order,1
IRIB-NEKTAR-ABRIKOSOVYY-3000-PET,Абрикосовый нектар 3л,"Нектар Ириб Абрикосовый, 3 л, ПЭТ",Ириб,ООО «ИРИБ»,NEKTAR,Абрикосовый,ABRIKOSOVYY,3000,3 л,ПЭТ,PET,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/abrikosovyj-nektar/,https://irib.su/wp-content/uploads/2021/04/abrik-nektar3l-366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-NEKTAR-ABRIKOSOVYY-3000-PET.webp,exact_low_res,222,366,image/png,6371d83da7978acff6e76f17afd7161d1c83d0d78e292d29ea629a20d1cb70c0,a0e7d0022bbcfb9242ddf0c86f1c11b424451f2239b6b2810b5c4c748f893b7a,new_product,medium,approved,,high,,abrikosovyj-nektar,showcase,,false,on_order,1
IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-3000-PET,Яблочно-абрикосовый нектар 3л,"Нектар Ириб Яблочно-абрикосовый, 3 л, ПЭТ",Ириб,ООО «ИРИБ»,NEKTAR,Яблочно-абрикосовый,YABLOCHNO-ABRIKOSOVYY,3000,3 л,ПЭТ,PET,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/yablochno-abrikosovyj-nektar-3l/,https://irib.su/wp-content/uploads/2021/04/yabl-abrik-nektar3l-366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-3000-PET.webp,exact_low_res,222,366,image/png,56fe0c6451d692f971954b2eda8f440832623c03eb986ea3702852b827e8801e,3df299b4c0cdfbbeb17f2eab475212311a195a9cd3a1a0f04fbc387ee94809ab,new_product,medium,approved,,high,,yablochno-abrikosovyj-nektar-3l,showcase,,false,on_order,1
IRIB-NEKTAR-YABLOCHNYY-3000-PET,Яблочный нектар 3л,"Нектар Ириб Яблочный, 3 л, ПЭТ",Ириб,ООО «ИРИБ»,NEKTAR,Яблочный,YABLOCHNYY,3000,3 л,ПЭТ,PET,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/yablochnyj-nektar-3l/,https://irib.su/wp-content/uploads/2021/04/yabl-nektar3l-366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-NEKTAR-YABLOCHNYY-3000-PET.webp,exact_low_res,222,366,image/png,045180c9cf22bd065f1c3d9553920375acea88e886b65c601ccbe30da9a39dba,03a3a07c5125a8f612a7e029230c7b9cdcde2ba804e0744fc232d071098157b8,new_product,medium,approved,,high,,yablochnyj-nektar-3l,showcase,,false,on_order,1
