proposed_sku,official_name,proposed_name,brand,manufacturer,line,flavor,flavor_key,volume_ml,volume_text,package_type,package_code,carbonation,category,category_slug,category_id,category_status,source_url,source_image_url,image_path,image_match_status,image_width,image_height,image_mime,source_image_sha256,processed_sha256,duplicate_status,confidence,review_status,review_reason,volume_confidence,notes,wp_slug,sales_status,price_amount,orderable,availability,units_per_package
IRIB-BRO-LEMON-ANANAS-1250-PET,Bro lemon Ананас,"Bro Lemon Ананас, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Ананас,ANANAS,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-ananas/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-ananas,showcase,,false,on_order,1
IRIB-BRO-LEMON-ANANAS-500-PET,Bro lemon Ананас,"Bro Lemon Ананас, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Ананас,ANANAS,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-ananas/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-ananas,showcase,,false,on_order,1
IRIB-BRO-LEMON-APELSIN-1250-PET,Bro lemon Апельсин,"Bro Lemon Апельсин, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Апельсин,APELSIN,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-apelsin/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-apelsin,showcase,,false,on_order,1
IRIB-BRO-LEMON-APELSIN-500-PET,Bro lemon Апельсин,"Bro Lemon Апельсин, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Апельсин,APELSIN,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-apelsin/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-apelsin,showcase,,false,on_order,1
IRIB-BRO-LEMON-COLA-1250-PET,Bro lemon Cola,"Bro Lemon Cola, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Cola,COLA,1250,"1,25 л",ПЭТ,PET,,Кола,kola,34bee47b-61c3-4e15-81db-75d58ecf018b,mapped,https://irib.su/product/bro-lemon-cola/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-cola,showcase,,false,on_order,1
IRIB-BRO-LEMON-COLA-500-PET,Bro lemon Cola,"Bro Lemon Cola, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Cola,COLA,500,500 мл,ПЭТ,PET,,Кола,kola,34bee47b-61c3-4e15-81db-75d58ecf018b,mapped,https://irib.su/product/bro-lemon-cola/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-cola,showcase,,false,on_order,1
IRIB-BRO-LEMON-GRUSHA-1250-PET,Bro lemon Груша,"Bro Lemon Груша, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Груша,GRUSHA,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-grusha/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-grusha,showcase,,false,on_order,1
IRIB-BRO-LEMON-GRUSHA-500-PET,Bro lemon Груша,"Bro Lemon Груша, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Груша,GRUSHA,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-grusha/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-grusha,showcase,,false,on_order,1
IRIB-BRO-LEMON-MOHITO-1250-PET,Bro lemon Мохито,"Bro Lemon Мохито, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Мохито,MOHITO,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-mahito/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-mahito,showcase,,false,on_order,1
IRIB-BRO-LEMON-MOHITO-500-PET,Bro lemon Мохито,"Bro Lemon Мохито, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Мохито,MOHITO,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-mahito/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-mahito,showcase,,false,on_order,1
IRIB-BRO-LEMON-MULTIFRUKT-1250-PET,Bro lemon Мультифрукт,"Bro Lemon Мультифрукт, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Мультифрукт,MULTIFRUKT,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-multifrukt/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-multifrukt,showcase,,false,on_order,1
IRIB-BRO-LEMON-MULTIFRUKT-500-PET,Bro lemon Мультифрукт,"Bro Lemon Мультифрукт, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Мультифрукт,MULTIFRUKT,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-multifrukt/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-multifrukt,showcase,,false,on_order,1
IRIB-BRO-LEMON-TARHUN-1250-PET,Bro lemon Тархун,"Bro Lemon Тархун, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Тархун,TARHUN,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-tarhun/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-tarhun,showcase,,false,on_order,1
IRIB-BRO-LEMON-TARHUN-500-PET,Bro lemon Тархун,"Bro Lemon Тархун, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Тархун,TARHUN,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-tarhun/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-tarhun,showcase,,false,on_order,1
IRIB-CHEGERI-NEGAZIROVANNAYA-500-PET,«Чегери» — родниковая вода,"Чегери Негазированная, 500 мл, ПЭТ",Чегери,ООО «ИРИБ»,CHEGERI,Негазированная,NEGAZIROVANNAYA,500,500 мл,ПЭТ,PET,негазированная,Питьевая вода,voda-pitevaya,58b17c1b-ce93-47d6-9e9d-df407b076889,mapped,https://irib.su/product/rodnikovaya-svezhest-3/,https://irib.su/wp-content/uploads/2023/07/chegeri-bottle-1.webp,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-CHEGERI-NEGAZIROVANNAYA-500-PET.webp,exact_low_res,117,380,image/webp,3f0095dde0a7df0d54b6ef76be5b23044ba4ccf91485209e7de4b7182b096647,afefdfb57cc2eff86e13396ebdfa27700c2df2710333576af734f24518c6dec1,new_product,medium,approved,,high,,rodnikovaya-svezhest-3,showcase,,false,on_order,1
IRIB-GOLD-GRAND-ANANAS-600-PET,Ананас,"GOLD GRAND Ананас, 600 мл, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Ананас,ANANAS,600,600 мл,ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/ananas-0-6l/,https://irib.su/wp-content/uploads/2021/04/ananas-366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-GOLD-GRAND-ANANAS-600-PET.webp,exact_low_res,113,366,image/png,b2c7ee8cf6362a0ccc6e69ada432a6303a0f0b4ddf431a19ecbf445f5e9088fb,84fc41a8e214aa3575191106b4e458c5edf9515f93419caebc82804de53fb226,new_product,medium,approved,,high,,ananas-0-6l,showcase,,false,on_order,1
IRIB-GOLD-GRAND-GRUSHA-1500-PET,Груша,"GOLD GRAND Груша, 1,5 л, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Груша,GRUSHA,1500,"1,5 л",ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/grusha-0-6l/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,grusha-0-6l,showcase,,false,on_order,1
