proposed_sku,official_name,proposed_name,brand,manufacturer,line,flavor,flavor_key,volume_ml,volume_text,package_type,package_code,carbonation,category,category_slug,category_id,category_status,source_url,source_image_url,image_path,image_match_status,image_width,image_height,image_mime,source_image_sha256,processed_sha256,duplicate_status,confidence,review_status,review_reason,volume_confidence,notes,wp_slug,sales_status,price_amount,orderable,availability,units_per_package
IRIB-BRO-LEMON-ANANAS-1250-PET,Bro lemon Ананас,"Bro Lemon Ананас, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Ананас,ANANAS,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-ananas/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-ananas,showcase,,false,on_order,1
IRIB-BRO-LEMON-ANANAS-500-PET,Bro lemon Ананас,"Bro Lemon Ананас, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Ананас,ANANAS,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-ananas/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-ananas,showcase,,false,on_order,1
IRIB-BRO-LEMON-APELSIN-1250-PET,Bro lemon Апельсин,"Bro Lemon Апельсин, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Апельсин,APELSIN,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-apelsin/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-apelsin,showcase,,false,on_order,1
IRIB-BRO-LEMON-APELSIN-500-PET,Bro lemon Апельсин,"Bro Lemon Апельсин, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Апельсин,APELSIN,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-apelsin/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-apelsin,showcase,,false,on_order,1
IRIB-BRO-LEMON-COLA-1250-PET,Bro lemon Cola,"Bro Lemon Cola, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Cola,COLA,1250,"1,25 л",ПЭТ,PET,,Кола,kola,34bee47b-61c3-4e15-81db-75d58ecf018b,mapped,https://irib.su/product/bro-lemon-cola/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-cola,showcase,,false,on_order,1
IRIB-BRO-LEMON-COLA-500-PET,Bro lemon Cola,"Bro Lemon Cola, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Cola,COLA,500,500 мл,ПЭТ,PET,,Кола,kola,34bee47b-61c3-4e15-81db-75d58ecf018b,mapped,https://irib.su/product/bro-lemon-cola/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-cola,showcase,,false,on_order,1
IRIB-BRO-LEMON-GRUSHA-1250-PET,Bro lemon Груша,"Bro Lemon Груша, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Груша,GRUSHA,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-grusha/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-grusha,showcase,,false,on_order,1
IRIB-BRO-LEMON-GRUSHA-500-PET,Bro lemon Груша,"Bro Lemon Груша, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Груша,GRUSHA,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-grusha/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-grusha,showcase,,false,on_order,1
IRIB-BRO-LEMON-MOHITO-1250-PET,Bro lemon Мохито,"Bro Lemon Мохито, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Мохито,MOHITO,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-mahito/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-mahito,showcase,,false,on_order,1
IRIB-BRO-LEMON-MOHITO-500-PET,Bro lemon Мохито,"Bro Lemon Мохито, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Мохито,MOHITO,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-mahito/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-mahito,showcase,,false,on_order,1
IRIB-BRO-LEMON-MULTIFRUKT-1250-PET,Bro lemon Мультифрукт,"Bro Lemon Мультифрукт, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Мультифрукт,MULTIFRUKT,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-multifrukt/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-multifrukt,showcase,,false,on_order,1
IRIB-BRO-LEMON-MULTIFRUKT-500-PET,Bro lemon Мультифрукт,"Bro Lemon Мультифрукт, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Мультифрукт,MULTIFRUKT,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-multifrukt/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-multifrukt,showcase,,false,on_order,1
IRIB-BRO-LEMON-TARHUN-1250-PET,Bro lemon Тархун,"Bro Lemon Тархун, 1,25 л, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Тархун,TARHUN,1250,"1,25 л",ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-tarhun/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-tarhun,showcase,,false,on_order,1
IRIB-BRO-LEMON-TARHUN-500-PET,Bro lemon Тархун,"Bro Lemon Тархун, 500 мл, ПЭТ",Bro Lemon,ООО «ИРИБ»,BRO-LEMON,Тархун,TARHUN,500,500 мл,ПЭТ,PET,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/bro-lemon-tarhun/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,bro-lemon-tarhun,showcase,,false,on_order,1
IRIB-GOLD-GRAND-GRUSHA-1500-PET,Груша,"GOLD GRAND Груша, 1,5 л, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Груша,GRUSHA,1500,"1,5 л",ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/grusha-0-6l/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,grusha-0-6l,showcase,,false,on_order,1
IRIB-GOLD-GRAND-GRUSHA-600-PET,Груша,"GOLD GRAND Груша, 600 мл, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Груша,GRUSHA,600,600 мл,ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/grusha-0-6l/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,grusha-0-6l,showcase,,false,on_order,1
IRIB-GOLD-GRAND-MOHITO-1500-PET,Мохито,"GOLD GRAND Мохито, 1,5 л, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Мохито,MOHITO,1500,"1,5 л",ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/mohito-0-6l/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,mohito-0-6l,showcase,,false,on_order,1
IRIB-GOLD-GRAND-MOHITO-600-PET,Мохито,"GOLD GRAND Мохито, 600 мл, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Мохито,MOHITO,600,600 мл,ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/mohito-0-6l/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,mohito-0-6l,showcase,,false,on_order,1
