proposed_sku,official_name,proposed_name,brand,manufacturer,line,flavor,flavor_key,volume_ml,volume_text,package_type,package_code,carbonation,category,category_slug,category_id,category_status,source_url,source_image_url,image_path,image_match_status,image_source,image_width,image_height,image_mime,source_image_sha256,processed_sha256,duplicate_status,match_reason,existing_product_id,existing_sku,existing_name,final_decision,final_status,final_reason,review_status,review_reason,confidence,notes,wp_slug,sales_status,price_amount,orderable,availability,units_per_package
IRIB-CHEGERI-NEGAZIROVANNAYA-500-PET,«Чегери» — родниковая вода,"Чегери Негазированная, 500 мл, ПЭТ",Чегери,ООО «ИРИБ»,CHEGERI,Негазированная,NEGAZIROVANNAYA,500,500 мл,ПЭТ,PET,негазированная,Питьевая вода,voda-pitevaya,58b17c1b-ce93-47d6-9e9d-df407b076889,mapped,https://irib.su/product/rodnikovaya-svezhest-3/,https://irib.su/wp-content/uploads/2023/07/chegeri-bottle-1.webp,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-CHEGERI-NEGAZIROVANNAYA-500-PET.webp,exact_low_res,stage1_featured_or_assigned,117,380,image/webp,3f0095dde0a7df0d54b6ef76be5b23044ba4ccf91485209e7de4b7182b096647,f34b7964477fb951fb06ad303ec5f4528a807899ad87d93443290c9605330f81,new_product,no_production_overlap,,,,new_product,approved,,approved,,medium,,rodnikovaya-svezhest-3,showcase,,false,on_order,1
IRIB-GOLD-GRAND-ANANAS-600-PET,Ананас,"GOLD GRAND Ананас, 600 мл, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Ананас,ANANAS,600,600 мл,ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/ananas-0-6l/,https://irib.su/wp-content/uploads/2021/04/ananas-366.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-GOLD-GRAND-ANANAS-600-PET.webp,exact_low_res,stage1_featured_or_assigned,113,366,image/png,b2c7ee8cf6362a0ccc6e69ada432a6303a0f0b4ddf431a19ecbf445f5e9088fb,825132bc635a4aba7c16191ffcc972dde9d26a6c347c06f9898855bcf5626b45,new_product,no_production_overlap,,,,new_product,approved,,approved,,medium,,ananas-0-6l,showcase,,false,on_order,1
IRIB-GOLD-GRAND-MOHITO-NEGAZIROVANNYY-600-PET,Мохито негазированный,"GOLD GRAND Мохито негазированный, 600 мл, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Мохито негазированный,MOHITO-NEGAZIROVANNYY,600,600 мл,ПЭТ,PET,негазированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/mohito-0-6l-negazirovannyj/,https://irib.su/wp-content/uploads/2021/04/mohito-bez-gaza-366.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-GOLD-GRAND-MOHITO-NEGAZIROVANNYY-600-PET.webp,exact_low_res,stage1_featured_or_assigned,113,366,image/png,0cb197190f851a280e3416c55452e77f6d9db2eefbef9fd44a54ceb586db8485,f76f13fa22243bdd9a87a48fda6f188587eaaf8684dd6539d994b479de647707,new_product,no_production_overlap,,,,new_product,approved,,approved,,medium,,mohito-0-6l-negazirovannyj,showcase,,false,on_order,1
IRIB-GOLD-GRAND-MULTIFRUKT-600-PET,Мультифрукт,"GOLD GRAND Мультифрукт, 600 мл, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Мультифрукт,MULTIFRUKT,600,600 мл,ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/multifrukt-0-6l/,https://irib.su/wp-content/uploads/2021/04/multi-366.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-GOLD-GRAND-MULTIFRUKT-600-PET.webp,exact_low_res,stage1_featured_or_assigned,113,366,image/png,41367db4b63147975e447919e7b4053b4986af88dff6dbf00674d97fdeee632b,2dfc258c883b631d324a24a2c34c7e9be573cc0416fb43ca81f3cdad25c9d1af,new_product,no_production_overlap,,,,new_product,approved,,approved,,medium,,multifrukt-0-6l,showcase,,false,on_order,1
IRIB-GOLD-GRAND-TARHUN-600-PET,Тархун,"GOLD GRAND Тархун, 600 мл, ПЭТ",GOLD GRAND,ООО «ИРИБ»,GOLD-GRAND,Тархун,TARHUN,600,600 мл,ПЭТ,PET,газированный,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/tarhun-3/,https://irib.su/wp-content/uploads/2021/04/tarhun-366.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-GOLD-GRAND-TARHUN-600-PET.webp,exact_low_res,stage1_featured_or_assigned,113,366,image/png,7c2b1b848c743120686afd26b03137064f5f9ba6893f36f8876f798853d065cb,4d943a9c298de9acb6cfffbc8f9612e7ae5fd21ba19fa957d5f6bb485ca24de7,new_product,no_production_overlap,,,,new_product,approved,,approved,,medium,,tarhun-3,showcase,,false,on_order,1
IRIB-ICE-BAR-MANGO-KLUBNIKA-500-PET,Ice Bar манго-клубника,"Ice Bar манго-клубника, 500 мл, ПЭТ",Ice Bar,ООО «ИРИБ»,ICE-BAR,манго-клубника,MANGO-KLUBNIKA,500,500 мл,ПЭТ,PET,,Холодный чай,kholodnyy-chay,88192b93-0ce7-4b67-b6a5-9cb208a17bbb,mapped,https://irib.su/product/ice-bar-mango-klubnika/,https://irib.su/wp-content/uploads/2022/08/holonyj-chaj-mango-klubnika-500-1-PhotoRoom-1080.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-ICE-BAR-MANGO-KLUBNIKA-500-PET.webp,exact,wp_attachment_volume_filename,294,1080,image/png,0248d166997ced982d036895e55513fbf4283e326736be5a7c84dc9a7acd293d,10bb28e97138b3ff18cbd008527b62c97f3dad33c5dd55a0e8b97cb860c8b3fb,new_product,no_production_overlap,,,,new_product,approved,,approved,,high,multi_volume_image_unassigned; image_from_attachment_filename,ice-bar-mango-klubnika,showcase,,false,on_order,1
IRIB-ICE-BAR-PERSIK-500-PET,Ice Bar Персик,"Ice Bar Персик, 500 мл, ПЭТ",Ice Bar,ООО «ИРИБ»,ICE-BAR,Персик,PERSIK,500,500 мл,ПЭТ,PET,,Холодный чай,kholodnyy-chay,88192b93-0ce7-4b67-b6a5-9cb208a17bbb,mapped,https://irib.su/product/ice-bar-persik/,https://irib.su/wp-content/uploads/2020/07/holodny-chai-persik-500-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-ICE-BAR-PERSIK-500-PET.webp,exact,wp_attachment_volume_filename,291,1080,image/png,6913feb7304a890c71f6e13d89f911c9e914e076bda6634e8da7ee4a57d21845,821ed5b66cb04d5bd1eba244907869f56931a5afcec310f80e319f725cb0c1ee,new_product,no_production_overlap,,,,new_product,approved,,approved,,high,image_from_attachment_filename,ice-bar-persik,showcase,,false,on_order,1
IRIB-ICE-BAR-YAGODNYY-500-PET,Ice Bar Ягодный,"Ice Bar Ягодный, 500 мл, ПЭТ",Ice Bar,ООО «ИРИБ»,ICE-BAR,Ягодный,YAGODNYY,500,500 мл,ПЭТ,PET,,Холодный чай,kholodnyy-chay,88192b93-0ce7-4b67-b6a5-9cb208a17bbb,mapped,https://irib.su/product/ice-bar-yagodnyj/,https://irib.su/wp-content/uploads/2020/04/holodnyi-chai-lesnye-yagody-500-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-ICE-BAR-YAGODNYY-500-PET.webp,exact,wp_attachment_volume_filename,294,1080,image/png,6bc265984c1b83524f82b991302a370d59ead1b409594989e038622a103cfe84,0134efd48cabf9a25fce987ebdc671b4a7241f9cb367ef88ed2a6b6a3cf54e55,new_product,no_production_overlap,,,,new_product,approved,,approved,,high,multi_volume_image_unassigned; image_from_attachment_filename,ice-bar-yagodnyj,showcase,,false,on_order,1
IRIB-KVAS-YANTARNYY-1250-PET,Янтарный квас,"Квас Ириб Янтарный, 1,25 л, ПЭТ",Ириб,ООО «ИРИБ»,KVAS,Янтарный,YANTARNYY,1250,"1,25 л",ПЭТ,PET,,Квас,kvas,e1f3f5b4-7b79-4652-8989-82d30cff34a1,mapped,https://irib.su/product/kvas/,https://irib.su/wp-content/uploads/2020/04/kvas-yantarnyi-125-PhotoRoom-2.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-KVAS-YANTARNYY-1250-PET.webp,exact_low_res,stage1_featured_or_assigned,105,366,image/png,6d56be88321fd66f0505d72fc459a721f85b8f369d07ae09f04f73374155aa1f,0d7c1ea63ff102e6b211266d2cfccf182177e93f520d012a3fa98639f3a59068,new_product,no_production_overlap,,,,new_product,approved,,approved,,medium,,kvas,showcase,,false,on_order,1
IRIB-NEKTAR-ABRIKOSOVYY-3000-PET,Абрикосовый нектар 3л,"Нектар Ириб Абрикосовый, 3 л, ПЭТ",Ириб,ООО «ИРИБ»,NEKTAR,Абрикосовый,ABRIKOSOVYY,3000,3 л,ПЭТ,PET,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/abrikosovyj-nektar/,https://irib.su/wp-content/uploads/2021/04/abrik-nektar3l-1080.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-ABRIKOSOVYY-3000-PET.webp,exact,wp_attachment_volume_filename,654,1080,image/png,8ccf690b517d229d12384019be4b72e8afb27e20ca9df44b8edbe238027084a9,fa193404fc4dca059da23c750b967cc6d90f62eff45b08952927316dfc70e25f,new_product,no_production_overlap,,,,new_product,approved,,approved,,high,image_from_attachment_filename,abrikosovyj-nektar,showcase,,false,on_order,1
