proposed_sku,production_product_id,production_sku,production_name,production_brand,proposed_flavor,proposed_volume,proposed_package,proposed_category,production_volume,production_package,production_category,exact_match_reason,decision,image_update_candidate,source_url,official_image_url
IRIB-NEKTAR-ABRIKOSOVYY-750-GLASS,4a48893a-5c54-4b40-8409-7fafd5878bd6,ZY-IRIB-750-GLASS-002,"Нектар Ириб ст/б 0,75л Абрикосовый",Ириб,Абрикосовый,750 мл,стекло,Нектар,750 мл,стекло,Нектар,flavor_volume_package_type_match,confirmed_duplicate_exclude_from_create,yes,https://irib.su/product/abrikosovyj-sok/,https://irib.su/wp-content/uploads/2020/03/abriosovyi-075-PhotoRoom-1.png
IRIB-NEKTAR-PERSIKOVYY-750-GLASS,ecfa94b7-fca3-48ac-89cd-393f2419347d,ZY-IRIB-750-GLASS-006,"Нектар Ириб ст/б 0,75л Персиковый 50%",Ириб,Персиковый,750 мл,стекло,Нектар,750 мл,стекло,Нектар,flavor_volume_package_type_match,confirmed_duplicate_exclude_from_create,yes,https://irib.su/product/persikovyj-nektar/,https://irib.su/wp-content/uploads/2020/04/persikovyi-075-PhotoRoom-1.png
IRIB-NEKTAR-VISHNEVYY-750-GLASS,96f0130c-9d09-41a8-a24f-7476397ece27,ZY-IRIB-750-GLASS-004,"Нектар Ириб ст/б 0,75л Вишневый 50%",Ириб,Вишневый,750 мл,стекло,Нектар,750 мл,стекло,Нектар,flavor_volume_package_type_match,confirmed_duplicate_exclude_from_create,yes,https://irib.su/product/vishnevyj-nektar/,https://irib.su/wp-content/uploads/2020/04/vishnevyi-075-PhotoRoom-1.png
IRIB-SOK-ANANASOVYY-750-GLASS,c66bd5f3-e8e3-4da0-ad15-8525f17ded62,ZY-IRIB-750-GLASS-009,"Сок Ириб ст/б 0,75л Ананасовый 100%",Ириб,Ананасовый,750 мл,стекло,Сок,750 мл,стекло,Сок,flavor_volume_package_type_match,confirmed_duplicate_exclude_from_create,no,https://irib.su/product/sok-ananasovyj/,
IRIB-SOK-APELSINOVYY-750-GLASS,25afb80e-53f2-4003-aeeb-83ccc16887c1,ZY-IRIB-750-GLASS-007,"Сок Ириб ст/б 0,75л Апельсиновый 100%",Ириб,Апельсиновый,750 мл,стекло,Сок,750 мл,стекло,Сок,flavor_volume_package_type_match,confirmed_duplicate_exclude_from_create,yes,https://irib.su/product/apelsinovyj-sok/,https://irib.su/wp-content/uploads/2021/04/apelsinovyj-075-PhotoRoom-1.png
IRIB-SOK-GRANATOVYY-750-GLASS,cf2c5a75-a9af-408e-8d1d-9c4e76f31906,ZY-IRIB-750-GLASS-001,"Сок Ириб ст/б 0,75л Гранатовый 100%",Ириб,Гранатовый,750 мл,стекло,Сок,750 мл,стекло,Сок,flavor_volume_package_type_match,confirmed_duplicate_exclude_from_create,yes,https://irib.su/product/granatovyj-sok/,https://irib.su/wp-content/uploads/2020/04/granat-075-PhotoRoom-11.png
IRIB-SOK-TOMATNYY-750-GLASS,0b8df1b0-ca93-45da-8d2b-e230afee6403,ZY-IRIB-750-GLASS-011,"Сок Ириб ст/б 0,75л Томатный 100%",Ириб,Томатный,750 мл,стекло,Сок,750 мл,стекло,Сок,flavor_volume_package_type_match,confirmed_duplicate_exclude_from_create,yes,https://irib.su/product/tomatnyj-sok/,https://irib.su/wp-content/uploads/2020/04/tomatnyj-075-PhotoRoom-1.png
IRIB-SOK-VINOGRADNYY-750-GLASS,444d222a-b689-4fc9-a288-d22b8472fa3e,ZY-IRIB-750-GLASS-008,"Сок Ириб ст/б 0,75л виноградный красный 100%",Ириб,Виноградный,750 мл,стекло,Сок,750 мл,стекло,Сок,flavor_volume_package_type_match,confirmed_duplicate_exclude_from_create,yes,https://irib.su/product/vinogradnyj-sok/,https://irib.su/wp-content/uploads/2020/04/vinogradnyi-075-PhotoRoom-1.png
IRIB-SOK-YABLOCHNYY-330-GLASS,6060a91b-7a0b-4919-b02f-f507712b2f6a,ZY-IRIB-330-GLASS-001,"Сок Ириб ст/б 0,33л Яблочный 100%",Ириб,Яблочный,330 мл,стекло,Сок,330 мл,стекло,Сок,flavor_volume_package_type_match,confirmed_duplicate_exclude_from_create,no,https://irib.su/product/yablochnyj-sok/,
IRIB-SOK-YABLOCHNYY-750-GLASS,f3f8ea32-6f95-4fac-9ccc-6c6a8a4dab4d,ZY-IRIB-750-GLASS-005,"Сок Ириб ст/б 0,75л Яблочный 100%",Ириб,Яблочный,750 мл,стекло,Сок,750 мл,стекло,Сок,flavor_volume_package_type_match,confirmed_duplicate_exclude_from_create,yes,https://irib.su/product/yablochnyj-sok/,https://irib.su/wp-content/uploads/2020/04/yablochnyi-075-PhotoRoom-2.png
IRIB-TARKI-TAU-TARKI-TAU-500-GLASS,18834bff-c577-480e-8817-b1a44e01f31b,ZY-IRIB-500-GLASS-001,"Вода Ириб минер Тарки Тау ст/б 0,5л",Ириб,Тарки-Тау,500 мл,стекло,Газированная вода,500 мл,стекло,Газированная вода,flavor_volume_package_type_match,confirmed_duplicate_exclude_from_create,yes,https://irib.su/product/tarki-tau-steklo/,https://irib.su/wp-content/uploads/2022/10/image-33.png
