sku,status,source_url,image_source,note,source_width,source_height,source_mime,source_sha256,processed_path,processed_sha256
IRIB-BRO-LEMON-ANANAS-1250-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-ANANAS-500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-APELSIN-1250-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-APELSIN-500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-COLA-1250-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-COLA-500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-GRUSHA-1250-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-GRUSHA-500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-MOHITO-1250-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-MOHITO-500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-MULTIFRUKT-1250-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-MULTIFRUKT-500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-TARHUN-1250-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-BRO-LEMON-TARHUN-500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-CHEGERI-NEGAZIROVANNAYA-500-PET,exact_low_res,https://irib.su/wp-content/uploads/2023/07/chegeri-bottle-1.webp,stage1_featured_or_assigned,no source upscale; catalog canvas only,117,380,image/webp,3f0095dde0a7df0d54b6ef76be5b23044ba4ccf91485209e7de4b7182b096647,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-CHEGERI-NEGAZIROVANNAYA-500-PET.webp,f34b7964477fb951fb06ad303ec5f4528a807899ad87d93443290c9605330f81
IRIB-GOLD-GRAND-ANANAS-600-PET,exact_low_res,https://irib.su/wp-content/uploads/2021/04/ananas-366.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,113,366,image/png,b2c7ee8cf6362a0ccc6e69ada432a6303a0f0b4ddf431a19ecbf445f5e9088fb,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-GOLD-GRAND-ANANAS-600-PET.webp,825132bc635a4aba7c16191ffcc972dde9d26a6c347c06f9898855bcf5626b45
IRIB-GOLD-GRAND-GRUSHA-1500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-GOLD-GRAND-GRUSHA-600-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-GOLD-GRAND-MOHITO-1500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-GOLD-GRAND-MOHITO-600-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-GOLD-GRAND-MOHITO-NEGAZIROVANNYY-600-PET,exact_low_res,https://irib.su/wp-content/uploads/2021/04/mohito-bez-gaza-366.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,113,366,image/png,0cb197190f851a280e3416c55452e77f6d9db2eefbef9fd44a54ceb586db8485,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-GOLD-GRAND-MOHITO-NEGAZIROVANNYY-600-PET.webp,f76f13fa22243bdd9a87a48fda6f188587eaaf8684dd6539d994b479de647707
IRIB-GOLD-GRAND-MULTIFRUKT-600-PET,exact_low_res,https://irib.su/wp-content/uploads/2021/04/multi-366.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,113,366,image/png,41367db4b63147975e447919e7b4053b4986af88dff6dbf00674d97fdeee632b,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-GOLD-GRAND-MULTIFRUKT-600-PET.webp,2dfc258c883b631d324a24a2c34c7e9be573cc0416fb43ca81f3cdad25c9d1af
IRIB-GOLD-GRAND-TARHUN-600-PET,exact_low_res,https://irib.su/wp-content/uploads/2021/04/tarhun-366.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,113,366,image/png,7c2b1b848c743120686afd26b03137064f5f9ba6893f36f8876f798853d065cb,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-GOLD-GRAND-TARHUN-600-PET.webp,4d943a9c298de9acb6cfffbc8f9612e7ae5fd21ba19fa957d5f6bb485ca24de7
IRIB-ICE-BAR-MANGO-KLUBNIKA-1250-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-ICE-BAR-MANGO-KLUBNIKA-500-PET,exact,https://irib.su/wp-content/uploads/2022/08/holonyj-chaj-mango-klubnika-500-1-PhotoRoom-1080.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,294,1080,image/png,0248d166997ced982d036895e55513fbf4283e326736be5a7c84dc9a7acd293d,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-ICE-BAR-MANGO-KLUBNIKA-500-PET.webp,10bb28e97138b3ff18cbd008527b62c97f3dad33c5dd55a0e8b97cb860c8b3fb
IRIB-ICE-BAR-PERSIK-1250-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-ICE-BAR-PERSIK-500-PET,exact,https://irib.su/wp-content/uploads/2020/07/holodny-chai-persik-500-PhotoRoom-1.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,291,1080,image/png,6913feb7304a890c71f6e13d89f911c9e914e076bda6634e8da7ee4a57d21845,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-ICE-BAR-PERSIK-500-PET.webp,821ed5b66cb04d5bd1eba244907869f56931a5afcec310f80e319f725cb0c1ee
IRIB-ICE-BAR-YAGODNYY-1250-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-ICE-BAR-YAGODNYY-500-PET,exact,https://irib.su/wp-content/uploads/2020/04/holodnyi-chai-lesnye-yagody-500-PhotoRoom-1.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,294,1080,image/png,6bc265984c1b83524f82b991302a370d59ead1b409594989e038622a103cfe84,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-ICE-BAR-YAGODNYY-500-PET.webp,0134efd48cabf9a25fce987ebdc671b4a7241f9cb367ef88ed2a6b6a3cf54e55
IRIB-KVAS-YANTARNYY-1250-PET,exact_low_res,https://irib.su/wp-content/uploads/2020/04/kvas-yantarnyi-125-PhotoRoom-2.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,105,366,image/png,6d56be88321fd66f0505d72fc459a721f85b8f369d07ae09f04f73374155aa1f,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-KVAS-YANTARNYY-1250-PET.webp,0d7c1ea63ff102e6b211266d2cfccf182177e93f520d012a3fa98639f3a59068
IRIB-KVAS-YANTARNYY-1500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-KVAS-YANTARNYY-500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
