proposed_sku,brand,line,flavor,volume_ml,volume_text,package_type,carbonation,sugar_free,category,category_status,image_match_status,image_source,source_url,source_image_url,existing_sku,existing_name,match_reason,decision,final_status,final_reason
IRIB-NEKTAR-ABRIKOSOVYY-330-GLASS,Ириб,NEKTAR,Абрикосовый,330,330 мл,стекло,,,Нектар,mapped,missing,missing,https://irib.su/product/abrikosovyj-sok/,,ZY-IRIB-750-GLASS-002,"Нектар Ириб ст/б 0,75л Абрикосовый",same_flavor_package_diff_volume,keep_manual,manual,same_flavor_package_diff_volume
IRIB-NEKTAR-ABRIKOSOVYY-500-GLASS,Ириб,NEKTAR,Абрикосовый,500,500 мл,стекло,,,Нектар,mapped,exact,wp_attachment_volume_filename,https://irib.su/product/abrikosovyj-sok/,https://irib.su/wp-content/uploads/2020/03/abriosovyj-05-PhotoRoom-1-3.png,ZY-IRIB-750-GLASS-002,"Нектар Ириб ст/б 0,75л Абрикосовый",same_flavor_package_diff_volume,new_product,approved,different_volume_or_package_from_production_confirmed
IRIB-NEKTAR-PERSIKOVYY-500-GLASS,Ириб,NEKTAR,Персиковый,500,500 мл,стекло,,,Нектар,mapped,exact,wp_attachment_volume_filename,https://irib.su/product/persikovyj-nektar/,https://irib.su/wp-content/uploads/2020/04/persikovyj-05-PhotoRoom-1.png,ZY-IRIB-750-GLASS-006,"Нектар Ириб ст/б 0,75л Персиковый 50%",same_flavor_package_diff_volume,new_product,approved,different_volume_or_package_from_production_confirmed
IRIB-NEKTAR-VISHNEVYY-330-GLASS,Ириб,NEKTAR,Вишневый,330,330 мл,стекло,,,Нектар,mapped,missing,missing,https://irib.su/product/vishnevyj-nektar/,,ZY-IRIB-750-GLASS-004,"Нектар Ириб ст/б 0,75л Вишневый 50%",same_flavor_package_diff_volume,keep_manual,manual,same_flavor_package_diff_volume
IRIB-NEKTAR-VISHNEVYY-500-GLASS,Ириб,NEKTAR,Вишневый,500,500 мл,стекло,,,Нектар,mapped,exact,wp_attachment_volume_filename,https://irib.su/product/vishnevyj-nektar/,https://irib.su/wp-content/uploads/2020/04/vishnevyj-05-PhotoRoom-1.png,ZY-IRIB-750-GLASS-004,"Нектар Ириб ст/б 0,75л Вишневый 50%",same_flavor_package_diff_volume,new_product,approved,different_volume_or_package_from_production_confirmed
IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-750-GLASS,Ириб,NEKTAR,Яблочно-абрикосовый,750,750 мл,стекло,,,Нектар,mapped,exact_low_res,wp_attachment_volume_filename,https://irib.su/product/yablochno-abrikosovyj-nektar/,https://irib.su/wp-content/uploads/2020/04/yablochno-abrikosovyi-075-PhotoRoom-1.png,ZY-IRIB-750-GLASS-002,"Нектар Ириб ст/б 0,75л Абрикосовый",weak_flavor_token_overlap,keep_manual,manual,weak_flavor_token_overlap
IRIB-NEKTAR-YABLOCHNYY-500-GLASS,Ириб,NEKTAR,Яблочный,500,500 мл,стекло,,,Нектар,mapped,exact,wp_attachment_volume_filename,https://irib.su/product/yablochnyj-nektar/,https://irib.su/wp-content/uploads/2021/04/yablochnyj-nektar-05-PhotoRoom-1.png,,,no_production_overlap,new_product,approved,
IRIB-NEKTAR-YABLOCHNYY-750-GLASS,Ириб,NEKTAR,Яблочный,750,750 мл,стекло,,,Нектар,mapped,exact_low_res,wp_attachment_volume_filename,https://irib.su/product/yablochnyj-nektar/,https://irib.su/wp-content/uploads/2021/04/yablochnyi-nektar-075-PhotoRoom-1.png,ZY-IRIB-750-GLASS-005,"Сок Ириб ст/б 0,75л Яблочный 100%",type_mismatch_nektar_vs_sok,new_product,approved,type_differs_from_production_sibling_confirmed_new
IRIB-SOK-ANANASOVYY-500-GLASS,Ириб,SOK,Ананасовый,500,500 мл,стекло,,,Сок,mapped,exact,wp_attachment_volume_filename,https://irib.su/product/sok-ananasovyj/,https://irib.su/wp-content/uploads/2020/04/ananasovyj-05-PhotoRoom-1.png,ZY-IRIB-750-GLASS-009,"Сок Ириб ст/б 0,75л Ананасовый 100%",same_flavor_package_diff_volume,new_product,approved,different_volume_or_package_from_production_confirmed
IRIB-SOK-APELSINOVYY-330-GLASS,Ириб,SOK,Апельсиновый,330,330 мл,стекло,,,Сок,mapped,missing,missing,https://irib.su/product/apelsinovyj-sok/,,ZY-IRIB-750-GLASS-007,"Сок Ириб ст/б 0,75л Апельсиновый 100%",same_flavor_package_diff_volume,keep_manual,manual,same_flavor_package_diff_volume
