proposed_sku,official_name,proposed_name,brand,manufacturer,line,flavor,flavor_key,volume_ml,volume_text,package_type,package_code,carbonation,category,category_slug,category_id,category_status,source_url,source_image_url,image_path,image_match_status,image_source,image_width,image_height,image_mime,source_image_sha256,processed_sha256,duplicate_status,match_reason,existing_product_id,existing_sku,existing_name,final_decision,final_status,final_reason,review_status,review_reason,confidence,notes,wp_slug,sales_status,price_amount,orderable,availability,units_per_package
IRIB-NEKTAR-ABRIKOSOVYY-750-GLASS,Абрикосовый нектар,"Нектар Ириб Абрикосовый, 750 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Абрикосовый,ABRIKOSOVYY,750,750 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/abrikosovyj-sok/,https://irib.su/wp-content/uploads/2020/03/abriosovyi-075-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-ABRIKOSOVYY-750-GLASS.webp,exact_low_res,wp_attachment_volume_filename,128,366,image/png,0f11bd77a32175a435c0e989aec132ce15ea2db8127428880d5f0b21374b8cdb,118bb22e9f667994cfdcc43a03c0c8ea44156d130399e8bbdb847e55984aa98c,exact_match,flavor_volume_package_type_match,4a48893a-5c54-4b40-8409-7fafd5878bd6,ZY-IRIB-750-GLASS-002,"Нектар Ириб ст/б 0,75л Абрикосовый",confirmed_duplicate,rejected,confirmed_duplicate,rejected,confirmed_duplicate,low,multi_volume_image_unassigned; image_from_attachment_filename,abrikosovyj-sok,showcase,,false,on_order,1
IRIB-NEKTAR-PERSIKOVYY-750-GLASS,Персиковый нектар,"Нектар Ириб Персиковый, 750 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Персиковый,PERSIKOVYY,750,750 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/persikovyj-nektar/,https://irib.su/wp-content/uploads/2020/04/persikovyi-075-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-PERSIKOVYY-750-GLASS.webp,exact_low_res,wp_attachment_volume_filename,127,366,image/png,ec7f0a042a85d82f5c22c427f1d5e2d2a8d0785518f238c74dece66b3ffa126f,ec45526e99fe4ea92e4396f84dac10dfe47ec01635721a0b2b08e5674faca284,exact_match,flavor_volume_package_type_match,ecfa94b7-fca3-48ac-89cd-393f2419347d,ZY-IRIB-750-GLASS-006,"Нектар Ириб ст/б 0,75л Персиковый 50%",confirmed_duplicate,rejected,confirmed_duplicate,rejected,confirmed_duplicate,low,multi_volume_image_unassigned; image_from_attachment_filename,persikovyj-nektar,showcase,,false,on_order,1
IRIB-NEKTAR-VISHNEVYY-750-GLASS,Вишневый нектар,"Нектар Ириб Вишневый, 750 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Вишневый,VISHNEVYY,750,750 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/vishnevyj-nektar/,https://irib.su/wp-content/uploads/2020/04/vishnevyi-075-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-VISHNEVYY-750-GLASS.webp,exact_low_res,wp_attachment_volume_filename,127,366,image/png,2b649b1e097f0485fc4d9dfe117b383ec0aef63aaff4b3b97dc1736dd7fe2fe3,0f1ac325cc6d53069625400aaa8e8255fde156d07f0749f42c389082aaed5d0e,exact_match,flavor_volume_package_type_match,96f0130c-9d09-41a8-a24f-7476397ece27,ZY-IRIB-750-GLASS-004,"Нектар Ириб ст/б 0,75л Вишневый 50%",confirmed_duplicate,rejected,confirmed_duplicate,rejected,confirmed_duplicate,low,multi_volume_image_unassigned; image_from_attachment_filename,vishnevyj-nektar,showcase,,false,on_order,1
IRIB-SOK-ANANASOVYY-750-GLASS,Ананасовый сок,"Сок Ириб Ананасовый, 750 мл, стекло",Ириб,ООО «ИРИБ»,SOK,Ананасовый,ANANASOVYY,750,750 мл,стекло,GLASS,,Сок,sok,32a861a6-7c39-4329-b17c-09d3a420f7c2,mapped,https://irib.su/product/sok-ananasovyj/,,,missing,missing,,,,,,exact_match,flavor_volume_package_type_match,c66bd5f3-e8e3-4da0-ad15-8525f17ded62,ZY-IRIB-750-GLASS-009,"Сок Ириб ст/б 0,75л Ананасовый 100%",confirmed_duplicate,rejected,confirmed_duplicate,rejected,confirmed_duplicate,low,multi_volume_image_unassigned,sok-ananasovyj,showcase,,false,on_order,1
IRIB-SOK-APELSINOVYY-750-GLASS,Апельсиновый сок,"Сок Ириб Апельсиновый, 750 мл, стекло",Ириб,ООО «ИРИБ»,SOK,Апельсиновый,APELSINOVYY,750,750 мл,стекло,GLASS,,Сок,sok,32a861a6-7c39-4329-b17c-09d3a420f7c2,mapped,https://irib.su/product/apelsinovyj-sok/,https://irib.su/wp-content/uploads/2021/04/apelsinovyj-075-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-SOK-APELSINOVYY-750-GLASS.webp,exact,wp_attachment_volume_filename,372,1080,image/png,6661ab9ebfe344ec13c6e70fecf0e7a90f1e297ad5104e0c6134dba5d5308a43,4b305fc76a0318ab88bafb53505bf4d62c27aa6a1ca96315bad916d09ff35206,exact_match,flavor_volume_package_type_match,25afb80e-53f2-4003-aeeb-83ccc16887c1,ZY-IRIB-750-GLASS-007,"Сок Ириб ст/б 0,75л Апельсиновый 100%",confirmed_duplicate,rejected,confirmed_duplicate,rejected,confirmed_duplicate,low,multi_volume_image_unassigned; image_from_attachment_filename,apelsinovyj-sok,showcase,,false,on_order,1
IRIB-SOK-GRANATOVYY-750-GLASS,Гранатовый сок,"Сок Ириб Гранатовый, 750 мл, стекло",Ириб,ООО «ИРИБ»,SOK,Гранатовый,GRANATOVYY,750,750 мл,стекло,GLASS,,Сок,sok,32a861a6-7c39-4329-b17c-09d3a420f7c2,mapped,https://irib.su/product/granatovyj-sok/,https://irib.su/wp-content/uploads/2020/04/granat-075-PhotoRoom-11.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-SOK-GRANATOVYY-750-GLASS.webp,exact,wp_attachment_volume_filename,373,1080,image/png,78e7c6a705375a9404e4ff9dbc9365e7c4407d37182cb68293f9b11f417bfd64,f839fa11f02a4165a8bb888f2378255fd4ff57bbbe8765ce4112d7858be85b00,exact_match,flavor_volume_package_type_match,cf2c5a75-a9af-408e-8d1d-9c4e76f31906,ZY-IRIB-750-GLASS-001,"Сок Ириб ст/б 0,75л Гранатовый 100%",confirmed_duplicate,rejected,confirmed_duplicate,rejected,confirmed_duplicate,low,multi_volume_image_unassigned; image_from_attachment_filename,granatovyj-sok,showcase,,false,on_order,1
IRIB-SOK-TOMATNYY-750-GLASS,Томатный сок прямого отжима,"Сок Ириб Томатный, 750 мл, стекло",Ириб,ООО «ИРИБ»,SOK,Томатный,TOMATNYY,750,750 мл,стекло,GLASS,,Сок,sok,32a861a6-7c39-4329-b17c-09d3a420f7c2,mapped,https://irib.su/product/tomatnyj-sok/,https://irib.su/wp-content/uploads/2020/04/tomatnyj-075-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-SOK-TOMATNYY-750-GLASS.webp,exact,wp_attachment_volume_filename,377,1080,image/png,dab0729013db22fb0e77a5769e43509fcf80d83056098656a174f1b92d8c8023,ae99b0602aed3adc21dc1658d7f9478dc064d49236266b7594efab55dbcec78a,exact_match,flavor_volume_package_type_match,0b8df1b0-ca93-45da-8d2b-e230afee6403,ZY-IRIB-750-GLASS-011,"Сок Ириб ст/б 0,75л Томатный 100%",confirmed_duplicate,rejected,confirmed_duplicate,rejected,confirmed_duplicate,low,image_from_attachment_filename,tomatnyj-sok,showcase,,false,on_order,1
IRIB-SOK-VINOGRADNYY-750-GLASS,Виноградный сок,"Сок Ириб Виноградный, 750 мл, стекло",Ириб,ООО «ИРИБ»,SOK,Виноградный,VINOGRADNYY,750,750 мл,стекло,GLASS,,Сок,sok,32a861a6-7c39-4329-b17c-09d3a420f7c2,mapped,https://irib.su/product/vinogradnyj-sok/,https://irib.su/wp-content/uploads/2020/04/vinogradnyi-075-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-SOK-VINOGRADNYY-750-GLASS.webp,exact_low_res,wp_attachment_volume_filename,126,366,image/png,b32dbedcff390e017fcd8950a9bf32fe913fc353f69096ac41af2f6b1255e813,f46dc71e003369dd0642e9e453922a7ab716a38fd286dd884acad2d4495ea2a3,exact_match,flavor_volume_package_type_match,444d222a-b689-4fc9-a288-d22b8472fa3e,ZY-IRIB-750-GLASS-008,"Сок Ириб ст/б 0,75л виноградный красный 100%",confirmed_duplicate,rejected,confirmed_duplicate,rejected,confirmed_duplicate,low,multi_volume_image_unassigned; image_from_attachment_filename,vinogradnyj-sok,showcase,,false,on_order,1
IRIB-SOK-YABLOCHNYY-330-GLASS,Яблочный сок,"Сок Ириб Яблочный, 330 мл, стекло",Ириб,ООО «ИРИБ»,SOK,Яблочный,YABLOCHNYY,330,330 мл,стекло,GLASS,,Сок,sok,32a861a6-7c39-4329-b17c-09d3a420f7c2,mapped,https://irib.su/product/yablochnyj-sok/,,,missing,missing,,,,,,exact_match,flavor_volume_package_type_match,6060a91b-7a0b-4919-b02f-f507712b2f6a,ZY-IRIB-330-GLASS-001,"Сок Ириб ст/б 0,33л Яблочный 100%",confirmed_duplicate,rejected,confirmed_duplicate,rejected,confirmed_duplicate,low,multi_volume_image_unassigned,yablochnyj-sok,showcase,,false,on_order,1
IRIB-SOK-YABLOCHNYY-750-GLASS,Яблочный сок,"Сок Ириб Яблочный, 750 мл, стекло",Ириб,ООО «ИРИБ»,SOK,Яблочный,YABLOCHNYY,750,750 мл,стекло,GLASS,,Сок,sok,32a861a6-7c39-4329-b17c-09d3a420f7c2,mapped,https://irib.su/product/yablochnyj-sok/,https://irib.su/wp-content/uploads/2020/04/yablochnyi-075-PhotoRoom-2.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-SOK-YABLOCHNYY-750-GLASS.webp,exact_low_res,wp_attachment_volume_filename,125,366,image/png,74a07ef25dcc245ba8caa5e0726e7f541f26603116d6466a64ab784ae79b7824,dcf254ff1f60be2780f346d24cff3472c45687aa9dc3d9bc032f504d01806561,exact_match,flavor_volume_package_type_match,f3f8ea32-6f95-4fac-9ccc-6c6a8a4dab4d,ZY-IRIB-750-GLASS-005,"Сок Ириб ст/б 0,75л Яблочный 100%",confirmed_duplicate,rejected,confirmed_duplicate,rejected,confirmed_duplicate,low,multi_volume_image_unassigned; image_from_attachment_filename,yablochnyj-sok,showcase,,false,on_order,1
